affected padded lengths (computed from tt_bio at this commit): [288, 352, 416, 544, 608, 704, 736, 832, 864, 928, 992, 1056, 1088, 1184, 1216, 1248, 1312, 1376, 1472, 1504]
ladder rungs that appear in findings: [256, 512, 640, 768, 896, 1024]
of those, affected by the flag: []

model        rung      lever                         verdict
protenix-v1  256       REBLOCK_PERMUTE               main: the flip changes no bytes at this rung
protenix-v1  256       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
protenix-v1  512       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
protenix-v1  640       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
protenix-v1  768       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
protenix-v1  896       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
protenix-v1  1024      SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
boltz2       256       REBLOCK_PERMUTE               main: the flip changes no bytes at this rung
boltz2       256       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
boltz2       512       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
boltz2       640       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
boltz2       768       ADALN_S_HOIST                 main: the flip changes no bytes at this rung
boltz2       768       PAIR_TRANSPOSE_VIA_ROW_MAJOR  main: the flip changes no bytes at this rung
boltz2       768       PAIR_PROJ_MINIMAL_MATMUL      main: the flip changes no bytes at this rung
boltz2       768       QKV_MM_CONFIG                 main: the flip changes no bytes at this rung
boltz2       768       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
boltz2       768       B2_BIAS_SLICE_HOIST           main: the flip changes no bytes at this rung
boltz2       768       B2_ADALN_S_MEMO               main: the flip changes no bytes at this rung
boltz2       896       ADALN_S_HOIST                 main: the flip changes no bytes at this rung
boltz2       896       PAIR_TRANSPOSE_VIA_ROW_MAJOR  main: the flip changes no bytes at this rung
boltz2       896       PAIR_PROJ_MINIMAL_MATMUL      main: the flip changes no bytes at this rung
boltz2       896       QKV_MM_CONFIG                 main: the flip changes no bytes at this rung
boltz2       896       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
boltz2       896       B2_BIAS_SLICE_HOIST           main: the flip changes no bytes at this rung
boltz2       896       B2_ADALN_S_MEMO               main: the flip changes no bytes at this rung
boltz2       1024      SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
boltz2       256->512  exponent                      main: the flip changes no bytes at this rung
boltz2       512->768  exponent                      main: the flip changes no bytes at this rung
boltz2       256,512,640,768,896,1024runtime                       main: the flip changes no bytes at this rung
