run      job bucket        s    n  load_med    min    max
run2       1    672    259.6    0        --     --     --
run2       2    704    254.4    0        --     --     --
run2       3    768    293.3    0        --     --     --
run2       4    672    188.1    0        --     --     --
run2       5    704    194.9    0        --     --     --
run2       6    768    218.5    0        --     --     --
run2       7    736    355.6    0        --     --     --
run2       8    736    235.6    0        --     --     --
run3       1    672    201.1   21     12.36   6.76  17.66
run3       2    672    201.9   20     12.93   9.65  16.68
run3       3    672    193.8   19      6.24   4.71  10.87
armNEW     1    672    242.5   24     25.55  14.69  36.06
armNEW     2    672    261.1   26     55.34  24.33  73.31
armOLD     1    672    242.1   24     25.55  14.69  36.06
armOLD     2    672    262.5   26     55.34  24.33  73.31
runq       1    736    265.2   27     23.20  15.77  31.19
runq       2    736    228.6   23     17.95  10.27  28.55
runq       3    672    194.9   20     11.02   7.18  19.68
runq       4    672    191.0   19     13.67   7.73  19.14
