02:02:02  [tt-quietbox2:tt2] loading model…
02:02:12  [tt-quietbox2:tt2] 01_b140_tok720_bk736
02:02:12  [tt-quietbox2:tt2]   prep
02:02:16  [tt-quietbox2:tt2]   trunk 0/10
02:02:31  [tt-quietbox2:tt2]   trunk 1/10
02:02:41  [tt-quietbox2:tt2]   trunk 2/10
02:02:51  [tt-quietbox2:tt2]   trunk 3/10
02:03:01  [tt-quietbox2:tt2]   trunk 4/10
02:03:11  [tt-quietbox2:tt2]   trunk 5/10
02:03:22  [tt-quietbox2:tt2]   trunk 6/10
02:03:32  [tt-quietbox2:tt2]   trunk 7/10
02:03:42  [tt-quietbox2:tt2]   trunk 8/10
02:03:52  [tt-quietbox2:tt2]   trunk 9/10
02:04:04  [tt-quietbox2:tt2]   diffusion 0/200
02:04:05  [tt-quietbox2:tt2]   diffusion 1/200
02:04:05  [tt-quietbox2:tt2]   diffusion 2/200
02:04:05  [tt-quietbox2:tt2]   diffusion 3/200
02:04:06  [tt-quietbox2:tt2]   diffusion 4/200
02:04:06  [tt-quietbox2:tt2]   diffusion 5/200
02:04:06  [tt-quietbox2:tt2]   diffusion 6/200
02:04:07  [tt-quietbox2:tt2]   diffusion 7/200
02:04:07  [tt-quietbox2:tt2]   diffusion 8/200
02:04:07  [tt-quietbox2:tt2]   diffusion 9/200
02:04:08  [tt-quietbox2:tt2]   diffusion 10/200
02:04:08  [tt-quietbox2:tt2]   diffusion 11/200
02:04:08  [tt-quietbox2:tt2]   diffusion 12/200
02:04:09  [tt-quietbox2:tt2]   diffusion 13/200
02:04:09  [tt-quietbox2:tt2]   diffusion 14/200
02:04:09  [tt-quietbox2:tt2]   diffusion 15/200
02:04:10  [tt-quietbox2:tt2]   diffusion 16/200
02:04:10  [tt-quietbox2:tt2]   diffusion 17/200
02:04:10  [tt-quietbox2:tt2]   diffusion 18/200
02:04:10  [tt-quietbox2:tt2]   diffusion 19/200
02:04:11  [tt-quietbox2:tt2]   diffusion 20/200
02:04:11  [tt-quietbox2:tt2]   diffusion 21/200
02:04:11  [tt-quietbox2:tt2]   diffusion 22/200
02:04:12  [tt-quietbox2:tt2]   diffusion 23/200
02:04:12  [tt-quietbox2:tt2]   diffusion 24/200
02:04:12  [tt-quietbox2:tt2]   diffusion 25/200
02:04:13  [tt-quietbox2:tt2]   diffusion 26/200
02:04:13  [tt-quietbox2:tt2]   diffusion 27/200
02:04:13  [tt-quietbox2:tt2]   diffusion 28/200
02:04:14  [tt-quietbox2:tt2]   diffusion 29/200
02:04:14  [tt-quietbox2:tt2]   diffusion 30/200
02:04:14  [tt-quietbox2:tt2]   diffusion 31/200
02:04:15  [tt-quietbox2:tt2]   diffusion 32/200
02:04:15  [tt-quietbox2:tt2]   diffusion 33/200
02:04:15  [tt-quietbox2:tt2]   diffusion 34/200
02:04:16  [tt-quietbox2:tt2]   diffusion 35/200
02:04:16  [tt-quietbox2:tt2]   diffusion 36/200
02:04:16  [tt-quietbox2:tt2]   diffusion 37/200
02:04:17  [tt-quietbox2:tt2]   diffusion 38/200
02:04:17  [tt-quietbox2:tt2]   diffusion 39/200
02:04:17  [tt-quietbox2:tt2]   diffusion 40/200
02:04:17  [tt-quietbox2:tt2]   diffusion 41/200
02:04:18  [tt-quietbox2:tt2]   diffusion 42/200
02:04:18  [tt-quietbox2:tt2]   diffusion 43/200
02:04:18  [tt-quietbox2:tt2]   diffusion 44/200
02:04:19  [tt-quietbox2:tt2]   diffusion 45/200
02:04:19  [tt-quietbox2:tt2]   diffusion 46/200
02:04:19  [tt-quietbox2:tt2]   diffusion 47/200
02:04:20  [tt-quietbox2:tt2]   diffusion 48/200
02:04:20  [tt-quietbox2:tt2]   diffusion 49/200
02:04:20  [tt-quietbox2:tt2]   diffusion 50/200
02:04:21  [tt-quietbox2:tt2]   diffusion 51/200
02:04:21  [tt-quietbox2:tt2]   diffusion 52/200
02:04:21  [tt-quietbox2:tt2]   diffusion 53/200
02:04:22  [tt-quietbox2:tt2]   diffusion 54/200
02:04:22  [tt-quietbox2:tt2]   diffusion 55/200
02:04:22  [tt-quietbox2:tt2]   diffusion 56/200
02:04:23  [tt-quietbox2:tt2]   diffusion 57/200
02:04:23  [tt-quietbox2:tt2]   diffusion 58/200
02:04:23  [tt-quietbox2:tt2]   diffusion 59/200
02:04:24  [tt-quietbox2:tt2]   diffusion 60/200
02:04:24  [tt-quietbox2:tt2]   diffusion 61/200
02:04:24  [tt-quietbox2:tt2]   diffusion 62/200
02:04:24  [tt-quietbox2:tt2]   diffusion 63/200
02:04:25  [tt-quietbox2:tt2]   diffusion 64/200
02:04:25  [tt-quietbox2:tt2]   diffusion 65/200
02:04:26  [tt-quietbox2:tt2]   diffusion 66/200
02:04:26  [tt-quietbox2:tt2]   diffusion 67/200
02:04:26  [tt-quietbox2:tt2]   diffusion 68/200
02:04:26  [tt-quietbox2:tt2]   diffusion 69/200
02:04:27  [tt-quietbox2:tt2]   diffusion 70/200
02:04:27  [tt-quietbox2:tt2]   diffusion 71/200
02:04:27  [tt-quietbox2:tt2]   diffusion 72/200
02:04:28  [tt-quietbox2:tt2]   diffusion 73/200
02:04:28  [tt-quietbox2:tt2]   diffusion 74/200
02:04:28  [tt-quietbox2:tt2]   diffusion 75/200
02:04:29  [tt-quietbox2:tt2]   diffusion 76/200
02:04:29  [tt-quietbox2:tt2]   diffusion 77/200
