13:46:51  [pc:tt0] loading model…
13:47:00  [pc:tt0] 01_b78_tok658_bk672
13:47:00  [pc:tt0]   prep
13:47:26  [pc:tt0]   trunk 0/10
13:48:14  [pc:tt0]   trunk 1/10
13:48:21  [pc:tt0]   trunk 2/10
13:48:29  [pc:tt0]   trunk 3/10
13:48:36  [pc:tt0]   trunk 4/10
13:48:43  [pc:tt0]   trunk 5/10
13:48:51  [pc:tt0]   trunk 6/10
13:48:58  [pc:tt0]   trunk 7/10
13:49:05  [pc:tt0]   trunk 8/10
13:49:12  [pc:tt0]   trunk 9/10
13:49:29  [pc:tt0]   diffusion 0/200
13:50:01  [pc:tt0]   diffusion 1/200
13:50:01  [pc:tt0]   diffusion 2/200
13:50:02  [pc:tt0]   diffusion 3/200
13:50:02  [pc:tt0]   diffusion 4/200
13:50:03  [pc:tt0]   diffusion 5/200
13:50:03  [pc:tt0]   diffusion 6/200
13:50:03  [pc:tt0]   diffusion 7/200
13:50:04  [pc:tt0]   diffusion 8/200
13:50:04  [pc:tt0]   diffusion 9/200
13:50:04  [pc:tt0]   diffusion 10/200
13:50:05  [pc:tt0]   diffusion 11/200
13:50:05  [pc:tt0]   diffusion 12/200
13:50:06  [pc:tt0]   diffusion 13/200
13:50:06  [pc:tt0]   diffusion 14/200
13:50:06  [pc:tt0]   diffusion 15/200
13:50:07  [pc:tt0]   diffusion 16/200
13:50:07  [pc:tt0]   diffusion 17/200
13:50:08  [pc:tt0]   diffusion 18/200
13:50:08  [pc:tt0]   diffusion 19/200
13:50:08  [pc:tt0]   diffusion 20/200
13:50:09  [pc:tt0]   diffusion 21/200
13:50:09  [pc:tt0]   diffusion 22/200
13:50:10  [pc:tt0]   diffusion 23/200
13:50:10  [pc:tt0]   diffusion 24/200
13:50:10  [pc:tt0]   diffusion 25/200
13:50:11  [pc:tt0]   diffusion 26/200
13:50:11  [pc:tt0]   diffusion 27/200
13:50:12  [pc:tt0]   diffusion 28/200
13:50:12  [pc:tt0]   diffusion 29/200
13:50:12  [pc:tt0]   diffusion 30/200
13:50:13  [pc:tt0]   diffusion 31/200
13:50:13  [pc:tt0]   diffusion 32/200
13:50:14  [pc:tt0]   diffusion 33/200
13:50:14  [pc:tt0]   diffusion 34/200
13:50:14  [pc:tt0]   diffusion 35/200
13:50:15  [pc:tt0]   diffusion 36/200
13:50:15  [pc:tt0]   diffusion 37/200
13:50:16  [pc:tt0]   diffusion 38/200
13:50:16  [pc:tt0]   diffusion 39/200
13:50:16  [pc:tt0]   diffusion 40/200
13:50:17  [pc:tt0]   diffusion 41/200
13:50:17  [pc:tt0]   diffusion 42/200
13:50:17  [pc:tt0]   diffusion 43/200
13:50:18  [pc:tt0]   diffusion 44/200
13:50:18  [pc:tt0]   diffusion 45/200
13:50:19  [pc:tt0]   diffusion 46/200
13:50:19  [pc:tt0]   diffusion 47/200
13:50:19  [pc:tt0]   diffusion 48/200
13:50:20  [pc:tt0]   diffusion 49/200
13:50:20  [pc:tt0]   diffusion 50/200
13:50:21  [pc:tt0]   diffusion 51/200
13:50:21  [pc:tt0]   diffusion 52/200
13:50:21  [pc:tt0]   diffusion 53/200
13:50:22  [pc:tt0]   diffusion 54/200
13:50:22  [pc:tt0]   diffusion 55/200
13:50:23  [pc:tt0]   diffusion 56/200
13:50:23  [pc:tt0]   diffusion 57/200
