02:12:17  [tt-quietbox:tt1] loading model…
02:12:29  [tt-quietbox:tt1] 01_b78_tok658_bk672
02:12:29  [tt-quietbox:tt1]   prep
02:12:36  [tt-quietbox:tt1]   trunk 0/10
02:12:45  [tt-quietbox:tt1]   trunk 1/10
02:12:53  [tt-quietbox:tt1]   trunk 2/10
02:13:00  [tt-quietbox:tt1]   trunk 3/10
02:13:08  [tt-quietbox:tt1]   trunk 4/10
02:13:16  [tt-quietbox:tt1]   trunk 5/10
02:13:24  [tt-quietbox:tt1]   trunk 6/10
02:13:31  [tt-quietbox:tt1]   trunk 7/10
02:13:39  [tt-quietbox:tt1]   trunk 8/10
02:13:47  [tt-quietbox:tt1]   trunk 9/10
02:14:00  [tt-quietbox:tt1]   diffusion 0/200
02:14:03  [tt-quietbox:tt1]   diffusion 1/200
02:14:03  [tt-quietbox:tt1]   diffusion 2/200
02:14:03  [tt-quietbox:tt1]   diffusion 3/200
02:14:04  [tt-quietbox:tt1]   diffusion 4/200
02:14:05  [tt-quietbox:tt1]   diffusion 5/200
02:14:05  [tt-quietbox:tt1]   diffusion 6/200
02:14:06  [tt-quietbox:tt1]   diffusion 7/200
02:14:06  [tt-quietbox:tt1]   diffusion 8/200
02:14:06  [tt-quietbox:tt1]   diffusion 9/200
02:14:07  [tt-quietbox:tt1]   diffusion 10/200
02:14:07  [tt-quietbox:tt1]   diffusion 11/200
02:14:08  [tt-quietbox:tt1]   diffusion 12/200
02:14:08  [tt-quietbox:tt1]   diffusion 13/200
02:14:08  [tt-quietbox:tt1]   diffusion 14/200
02:14:09  [tt-quietbox:tt1]   diffusion 15/200
02:14:09  [tt-quietbox:tt1]   diffusion 16/200
02:14:10  [tt-quietbox:tt1]   diffusion 17/200
02:14:10  [tt-quietbox:tt1]   diffusion 18/200
02:14:10  [tt-quietbox:tt1]   diffusion 19/200
02:14:11  [tt-quietbox:tt1]   diffusion 20/200
02:14:11  [tt-quietbox:tt1]   diffusion 21/200
02:14:12  [tt-quietbox:tt1]   diffusion 22/200
02:14:12  [tt-quietbox:tt1]   diffusion 23/200
02:14:12  [tt-quietbox:tt1]   diffusion 24/200
02:14:13  [tt-quietbox:tt1]   diffusion 25/200
02:14:13  [tt-quietbox:tt1]   diffusion 26/200
02:14:14  [tt-quietbox:tt1]   diffusion 27/200
02:14:14  [tt-quietbox:tt1]   diffusion 28/200
02:14:15  [tt-quietbox:tt1]   diffusion 29/200
02:14:15  [tt-quietbox:tt1]   diffusion 30/200
02:14:15  [tt-quietbox:tt1]   diffusion 31/200
02:14:16  [tt-quietbox:tt1]   diffusion 32/200
02:14:16  [tt-quietbox:tt1]   diffusion 33/200
02:14:16  [tt-quietbox:tt1]   diffusion 34/200
02:14:17  [tt-quietbox:tt1]   diffusion 35/200
02:14:17  [tt-quietbox:tt1]   diffusion 36/200
02:14:18  [tt-quietbox:tt1]   diffusion 37/200
02:14:18  [tt-quietbox:tt1]   diffusion 38/200
02:14:18  [tt-quietbox:tt1]   diffusion 39/200
02:14:19  [tt-quietbox:tt1]   diffusion 40/200
02:14:19  [tt-quietbox:tt1]   diffusion 41/200
02:14:20  [tt-quietbox:tt1]   diffusion 42/200
02:14:20  [tt-quietbox:tt1]   diffusion 43/200
02:14:21  [tt-quietbox:tt1]   diffusion 44/200
02:14:21  [tt-quietbox:tt1]   diffusion 45/200
02:14:22  [tt-quietbox:tt1]   diffusion 46/200
02:14:22  [tt-quietbox:tt1]   diffusion 47/200
02:14:23  [tt-quietbox:tt1]   diffusion 48/200
02:14:23  [tt-quietbox:tt1]   diffusion 49/200
02:14:23  [tt-quietbox:tt1]   diffusion 50/200
