02:10:48  [tt-quietbox2:tt3] loading model…
02:10:57  [tt-quietbox2:tt3] 01_b140_tok720_bk736
02:10:57  [tt-quietbox2:tt3]   prep
02:11:00  [tt-quietbox2:tt3]   trunk 0/10
02:11:10  [tt-quietbox2:tt3]   trunk 1/10
02:11:20  [tt-quietbox2:tt3]   trunk 2/10
02:11:30  [tt-quietbox2:tt3]   trunk 3/10
02:11:40  [tt-quietbox2:tt3]   trunk 4/10
02:11:51  [tt-quietbox2:tt3]   trunk 5/10
02:12:01  [tt-quietbox2:tt3]   trunk 6/10
02:12:11  [tt-quietbox2:tt3]   trunk 7/10
02:12:21  [tt-quietbox2:tt3]   trunk 8/10
02:12:31  [tt-quietbox2:tt3]   trunk 9/10
02:12:44  [tt-quietbox2:tt3]   diffusion 0/200
02:12:45  [tt-quietbox2:tt3]   diffusion 1/200
02:12:46  [tt-quietbox2:tt3]   diffusion 2/200
02:12:46  [tt-quietbox2:tt3]   diffusion 3/200
02:12:46  [tt-quietbox2:tt3]   diffusion 4/200
02:12:47  [tt-quietbox2:tt3]   diffusion 5/200
02:12:47  [tt-quietbox2:tt3]   diffusion 6/200
02:12:48  [tt-quietbox2:tt3]   diffusion 7/200
02:12:48  [tt-quietbox2:tt3]   diffusion 8/200
02:12:48  [tt-quietbox2:tt3]   diffusion 9/200
02:12:49  [tt-quietbox2:tt3]   diffusion 10/200
02:12:49  [tt-quietbox2:tt3]   diffusion 11/200
02:12:50  [tt-quietbox2:tt3]   diffusion 12/200
02:12:50  [tt-quietbox2:tt3]   diffusion 13/200
02:12:51  [tt-quietbox2:tt3]   diffusion 14/200
02:12:51  [tt-quietbox2:tt3]   diffusion 15/200
02:12:51  [tt-quietbox2:tt3]   diffusion 16/200
02:12:52  [tt-quietbox2:tt3]   diffusion 17/200
02:12:52  [tt-quietbox2:tt3]   diffusion 18/200
02:12:52  [tt-quietbox2:tt3]   diffusion 19/200
02:12:53  [tt-quietbox2:tt3]   diffusion 20/200
02:12:53  [tt-quietbox2:tt3]   diffusion 21/200
02:12:54  [tt-quietbox2:tt3]   diffusion 22/200
02:12:54  [tt-quietbox2:tt3]   diffusion 23/200
02:12:54  [tt-quietbox2:tt3]   diffusion 24/200
02:12:55  [tt-quietbox2:tt3]   diffusion 25/200
02:12:55  [tt-quietbox2:tt3]   diffusion 26/200
02:12:56  [tt-quietbox2:tt3]   diffusion 27/200
02:12:56  [tt-quietbox2:tt3]   diffusion 28/200
02:12:57  [tt-quietbox2:tt3]   diffusion 29/200
02:12:57  [tt-quietbox2:tt3]   diffusion 30/200
02:12:57  [tt-quietbox2:tt3]   diffusion 31/200
02:12:58  [tt-quietbox2:tt3]   diffusion 32/200
