TTPROF rank_pid=2752495 stages=51 denominator=oneParticle
TTPROF region                                        cpu-seconds        calls  %onePart
TTPROF oneParticle                                      730.1305         1104   100.00%
TTPROF getFourierTransformsAndCtfs                       19.0186         1104     2.60%
TTPROF nonZeroProb                                       13.8543         1104     1.90%
TTPROF readData                                           0.0377         1104     0.01%
TTPROF ParaReadPrereadImages                              0.0358         1104     0.00%
TTPROF init                                               0.0000            0     0.00%
TTPROF makeNoiseMask                                      0.1146         1104     0.02%
TTPROF HelicalPrep                                        0.0000            0     0.00%
TTPROF TranslateAndNormCorrect                            0.7166         1104     0.10%
TTPROF normalizeAndTransform_recImg                       0.8857         1104     0.12%
TTPROF selfApplyBeamTilt                                  0.0008         2208     0.00%
TTPROF applyMask                                          1.1740         1104     0.16%
TTPROF normalizeAndTransform                              0.8611         1104     0.12%
TTPROF powerClass                                         0.3336         1104     0.05%
TTPROF CTFRead2D                                          0.8359         1104     0.11%
TTPROF weightPass                                       685.8093         2208    93.93%
TTPROF getAllSquaredDifferencesCoarse                   660.0622         1104    90.40%
TTPROF diff_pre_gpu                                       0.2225         2208     0.03%
TTPROF generateProjectionSetupCoarse                      0.0355         1104     0.00%
TTPROF translation_1                                      0.1221         1104     0.02%
TTPROF convertAllSquaredDifferencesToWeightsCoarse         0.1029         1104     0.01%
TTPROF get_orient_priors                                  0.0101         2208     0.00%
TTPROF get_offset_priors                                  0.0013         2208     0.00%
TTPROF sumweight1                                         0.0994         2208     0.01%
TTPROF sort                                               0.0689         2208     0.01%
TTPROF getArgMaxOnDevice                                  0.0029         2208     0.00%
TTPROF generateProjectionSetup                            0.0259         1104     0.00%
TTPROF getAllSquaredDifferencesFine                      25.5897         1104     3.50%
TTPROF precalculateShiftedImagesCtfsAndInvSigma2s         0.0633         1104     0.01%
TTPROF translation_2                                      0.1231         1104     0.02%
TTPROF kernel_init_1                                      0.0229         1104     0.00%
TTPROF pair_list_1                                        0.0060         1104     0.00%
TTPROF IndexedArrayMemCp2                                 0.0001         1104     0.00%
TTPROF generateEulerMatrices                              0.0088         1104     0.00%
TTPROF Diff2MakeKernel                                    0.0005         1104     0.00%
TTPROF Diff2CALL                                         25.3182         1104     3.47%
