TTPROF rank_pid=2755623 stages=51 denominator=oneParticle
TTPROF region                                        cpu-seconds        calls  %onePart
TTPROF oneParticle                                      737.4992         1104   100.00%
TTPROF getFourierTransformsAndCtfs                       19.2119         1104     2.61%
TTPROF nonZeroProb                                       13.8568         1104     1.88%
TTPROF readData                                           0.0386         1104     0.01%
TTPROF ParaReadPrereadImages                              0.0368         1104     0.00%
TTPROF init                                               0.0000            0     0.00%
TTPROF makeNoiseMask                                      0.1576         1104     0.02%
TTPROF HelicalPrep                                        0.0000            0     0.00%
TTPROF TranslateAndNormCorrect                            0.8054         1104     0.11%
TTPROF normalizeAndTransform_recImg                       0.8995         1104     0.12%
TTPROF selfApplyBeamTilt                                  0.0010         2208     0.00%
TTPROF applyMask                                          1.1849         1104     0.16%
TTPROF normalizeAndTransform                              0.8734         1104     0.12%
TTPROF powerClass                                         0.3371         1104     0.05%
TTPROF CTFRead2D                                          0.8434         1104     0.11%
TTPROF weightPass                                       692.5762         2208    93.91%
TTPROF getAllSquaredDifferencesCoarse                   666.7638         1104    90.41%
TTPROF diff_pre_gpu                                       0.2159         2208     0.03%
TTPROF generateProjectionSetupCoarse                      0.0361         1104     0.00%
TTPROF translation_1                                      0.1148         1104     0.02%
TTPROF convertAllSquaredDifferencesToWeightsCoarse         0.1028         1104     0.01%
TTPROF get_orient_priors                                  0.0106         2208     0.00%
TTPROF get_offset_priors                                  0.0017         2208     0.00%
TTPROF sumweight1                                         0.0986         2208     0.01%
TTPROF sort                                               0.0683         2208     0.01%
TTPROF getArgMaxOnDevice                                  0.0029         2208     0.00%
TTPROF generateProjectionSetup                            0.0260         1104     0.00%
TTPROF getAllSquaredDifferencesFine                      25.6549         1104     3.48%
TTPROF precalculateShiftedImagesCtfsAndInvSigma2s         0.0519         1104     0.01%
TTPROF translation_2                                      0.1149         1104     0.02%
TTPROF kernel_init_1                                      0.0234         1104     0.00%
TTPROF pair_list_1                                        0.0062         1104     0.00%
TTPROF IndexedArrayMemCp2                                 0.0001         1104     0.00%
TTPROF generateEulerMatrices                              0.0090         1104     0.00%
TTPROF Diff2MakeKernel                                    0.0006         1104     0.00%
TTPROF Diff2CALL                                         25.4124         1104     3.45%
TTPROF collect_data_1                                     0.0006         1104     0.00%
TTPROF convertAllSquaredDifferencesToWeightsFine          0.0198         1104     0.00%
TTPROF storeWeightedSums                                 25.6961         1104     3.48%
TTPROF store_init                                         0.0762         1104     0.01%
