TTPROF rank_pid=3178184 stages=51 denominator=oneParticle
TTPROF region                                        cpu-seconds        calls  %onePart
TTPROF oneParticle                                     4829.8569         5580   100.00%
TTPROF getFourierTransformsAndCtfs                      266.1588         5580     5.51%
TTPROF nonZeroProb                                      239.9601         5580     4.97%
TTPROF readData                                           0.2012         5580     0.00%
TTPROF ParaReadPrereadImages                              0.1890         5580     0.00%
TTPROF init                                               0.0000            0     0.00%
TTPROF makeNoiseMask                                      0.5740         5580     0.01%
TTPROF HelicalPrep                                        0.0000            0     0.00%
TTPROF TranslateAndNormCorrect                            3.6103         5580     0.07%
TTPROF normalizeAndTransform_recImg                       4.3534         5580     0.09%
TTPROF selfApplyBeamTilt                                  0.0052        11160     0.00%
TTPROF applyMask                                          5.9552         5580     0.12%
TTPROF normalizeAndTransform                              4.2164         5580     0.09%
TTPROF powerClass                                         1.3660         5580     0.03%
TTPROF CTFRead2D                                          4.8764         5580     0.10%
TTPROF weightPass                                      4117.1859        11160    85.24%
TTPROF getAllSquaredDifferencesCoarse                  3775.3775         5580    78.17%
TTPROF diff_pre_gpu                                       1.1738        11160     0.02%
TTPROF generateProjectionSetupCoarse                      0.1926         5580     0.00%
TTPROF translation_1                                      0.6458         5580     0.01%
TTPROF convertAllSquaredDifferencesToWeightsCoarse         0.6898         5580     0.01%
TTPROF get_orient_priors                                  0.0551        11160     0.00%
TTPROF get_offset_priors                                  0.0093        11160     0.00%
TTPROF sumweight1                                         0.7294        11160     0.02%
TTPROF sort                                               0.5515        11160     0.01%
TTPROF getArgMaxOnDevice                                  0.0157        11160     0.00%
TTPROF generateProjectionSetup                            0.2121         5580     0.00%
TTPROF getAllSquaredDifferencesFine                     340.6824         5580     7.05%
TTPROF precalculateShiftedImagesCtfsAndInvSigma2s         0.2976         5580     0.01%
TTPROF translation_2                                      0.6398         5580     0.01%
TTPROF kernel_init_1                                      0.1514         5580     0.00%
TTPROF pair_list_1                                        0.0452         5580     0.00%
TTPROF IndexedArrayMemCp2                                 0.0004         5580     0.00%
TTPROF generateEulerMatrices                              0.0774         5580     0.00%
TTPROF Diff2MakeKernel                                    0.0034         5580     0.00%
TTPROF Diff2CALL                                        339.2555         5580     7.02%
TTPROF collect_data_1                                     0.0045         5580     0.00%
TTPROF convertAllSquaredDifferencesToWeightsFine          0.1711         5580     0.00%
TTPROF storeWeightedSums                                446.4226         5580     9.24%
TTPROF store_init                                         0.6814         5580     0.01%
TTPROF collect_data_2                                     0.1677         5580     0.00%
TTPROF collect_data_2_pre_kernel                          0.0265         5580     0.00%
TTPROF collect_data_2_post_kernel                         0.0038         5580     0.00%
TTPROF setMetadata                                        0.0795         5580     0.00%
TTPROF maximization                                     443.8129         5580     9.19%
TTPROF translation_3                                      0.7014         5580     0.01%
TTPROF thisClassProjectionSetupCoarse                     0.0065         5580     0.00%
TTPROF generateEulerMatricesProjector                     0.0730         5580     0.00%
TTPROF pre_wavg_map                                       0.0065         5580     0.00%
TTPROF backproject                                      234.3311         5580     4.85%
TTPROF store_post_gpu                                     1.7275         5580     0.04%
TTPROF rank_pid=3178180 stages=51 denominator=oneParticle
TTPROF region                                        cpu-seconds        calls  %onePart
TTPROF oneParticle                                     4911.6034         5556   100.00%
TTPROF getFourierTransformsAndCtfs                      269.0323         5556     5.48%
TTPROF nonZeroProb                                      242.6598         5556     4.94%
TTPROF readData                                           0.2035         5556     0.00%
TTPROF ParaReadPrereadImages                              0.1904         5556     0.00%
TTPROF init                                               0.0000            0     0.00%
TTPROF makeNoiseMask                                      0.5797         5556     0.01%
TTPROF HelicalPrep                                        0.0000            0     0.00%
TTPROF TranslateAndNormCorrect                            3.6205         5556     0.07%
TTPROF normalizeAndTransform_recImg                       4.3802         5556     0.09%
TTPROF selfApplyBeamTilt                                  0.0055        11112     0.00%
TTPROF applyMask                                          5.9884         5556     0.12%
TTPROF normalizeAndTransform                              4.2429         5556     0.09%
TTPROF powerClass                                         1.3739         5556     0.03%
TTPROF CTFRead2D                                          4.9175         5556     0.10%
TTPROF weightPass                                      4185.3176        11112    85.21%
TTPROF getAllSquaredDifferencesCoarse                  3830.0994         5556    77.98%
TTPROF diff_pre_gpu                                       1.1876        11112     0.02%
TTPROF generateProjectionSetupCoarse                      0.1934         5556     0.00%
TTPROF translation_1                                      0.6552         5556     0.01%
TTPROF convertAllSquaredDifferencesToWeightsCoarse         0.6889         5556     0.01%
TTPROF get_orient_priors                                  0.0546        11112     0.00%
TTPROF get_offset_priors                                  0.0072        11112     0.00%
TTPROF sumweight1                                         0.7296        11112     0.01%
TTPROF sort                                               0.5521        11112     0.01%
TTPROF getArgMaxOnDevice                                  0.0160        11112     0.00%
TTPROF generateProjectionSetup                            0.2153         5556     0.00%
TTPROF getAllSquaredDifferencesFine                     354.0873         5556     7.21%
TTPROF precalculateShiftedImagesCtfsAndInvSigma2s         0.3004         5556     0.01%
TTPROF translation_2                                      0.6504         5556     0.01%
TTPROF kernel_init_1                                      0.1528         5556     0.00%
TTPROF pair_list_1                                        0.0459         5556     0.00%
TTPROF IndexedArrayMemCp2                                 0.0005         5556     0.00%
TTPROF generateEulerMatrices                              0.0802         5556     0.00%
TTPROF Diff2MakeKernel                                    0.0029         5556     0.00%
TTPROF Diff2CALL                                        352.6448         5556     7.18%
TTPROF collect_data_1                                     0.0041         5556     0.00%
TTPROF convertAllSquaredDifferencesToWeightsFine          0.1720         5556     0.00%
TTPROF storeWeightedSums                                457.1652         5556     9.31%
TTPROF store_init                                         0.6893         5556     0.01%
TTPROF collect_data_2                                     0.1700         5556     0.00%
TTPROF collect_data_2_pre_kernel                          0.0267         5556     0.00%
TTPROF collect_data_2_post_kernel                         0.0038         5556     0.00%
TTPROF setMetadata                                        0.0800         5556     0.00%
TTPROF maximization                                     454.5247         5556     9.25%
TTPROF translation_3                                      0.7047         5556     0.01%
TTPROF thisClassProjectionSetupCoarse                     0.0067         5556     0.00%
TTPROF generateEulerMatricesProjector                     0.0745         5556     0.00%
TTPROF pre_wavg_map                                       0.0072         5556     0.00%
TTPROF backproject                                      239.0839         5556     4.87%
TTPROF store_post_gpu                                     1.7483         5556     0.04%
TTPROF rank_pid=3178181 stages=51 denominator=oneParticle
TTPROF region                                        cpu-seconds        calls  %onePart
TTPROF oneParticle                                     4850.6080         5580   100.00%
TTPROF getFourierTransformsAndCtfs                      267.1192         5580     5.51%
TTPROF nonZeroProb                                      240.9043         5580     4.97%
TTPROF readData                                           0.2006         5580     0.00%
TTPROF ParaReadPrereadImages                              0.1886         5580     0.00%
TTPROF init                                               0.0000            0     0.00%
TTPROF makeNoiseMask                                      0.5717         5580     0.01%
TTPROF HelicalPrep                                        0.0000            0     0.00%
TTPROF TranslateAndNormCorrect                            3.6178         5580     0.07%
TTPROF normalizeAndTransform_recImg                       4.3670         5580     0.09%
TTPROF selfApplyBeamTilt                                  0.0047        11160     0.00%
TTPROF applyMask                                          5.9545         5580     0.12%
TTPROF normalizeAndTransform                              4.2193         5580     0.09%
TTPROF powerClass                                         1.3669         5580     0.03%
TTPROF CTFRead2D                                          4.8783         5580     0.10%
TTPROF weightPass                                      4139.1380        11160    85.33%
TTPROF getAllSquaredDifferencesCoarse                  3795.7984         5580    78.25%
TTPROF diff_pre_gpu                                       1.1730        11160     0.02%
TTPROF generateProjectionSetupCoarse                      0.1936         5580     0.00%
TTPROF translation_1                                      0.6554         5580     0.01%
TTPROF convertAllSquaredDifferencesToWeightsCoarse         0.6844         5580     0.01%
TTPROF get_orient_priors                                  0.0547        11160     0.00%
TTPROF get_offset_priors                                  0.0073        11160     0.00%
TTPROF sumweight1                                         0.7244        11160     0.01%
TTPROF sort                                               0.5477        11160     0.01%
TTPROF getArgMaxOnDevice                                  0.0158        11160     0.00%
TTPROF generateProjectionSetup                            0.2147         5580     0.00%
TTPROF getAllSquaredDifferencesFine                     342.2182         5580     7.06%
TTPROF precalculateShiftedImagesCtfsAndInvSigma2s         0.2993         5580     0.01%
TTPROF translation_2                                      0.6484         5580     0.01%
TTPROF kernel_init_1                                      0.1527         5580     0.00%
TTPROF pair_list_1                                        0.0465         5580     0.00%
TTPROF IndexedArrayMemCp2                                 0.0004         5580     0.00%
TTPROF generateEulerMatrices                              0.0779         5580     0.00%
TTPROF Diff2MakeKernel                                    0.0034         5580     0.00%
TTPROF Diff2CALL                                        340.7767         5580     7.03%
TTPROF collect_data_1                                     0.0043         5580     0.00%
TTPROF convertAllSquaredDifferencesToWeightsFine          0.1691         5580     0.00%
TTPROF storeWeightedSums                                444.2637         5580     9.16%
TTPROF store_init                                         0.6836         5580     0.01%
TTPROF collect_data_2                                     0.1681         5580     0.00%
TTPROF collect_data_2_pre_kernel                          0.0267         5580     0.00%
TTPROF collect_data_2_post_kernel                         0.0038         5580     0.00%
TTPROF setMetadata                                        0.0799         5580     0.00%
TTPROF maximization                                     441.6448         5580     9.10%
TTPROF translation_3                                      0.7054         5580     0.01%
TTPROF thisClassProjectionSetupCoarse                     0.0067         5580     0.00%
TTPROF generateEulerMatricesProjector                     0.0731         5580     0.00%
TTPROF pre_wavg_map                                       0.0067         5580     0.00%
TTPROF backproject                                      232.7074         5580     4.80%
TTPROF store_post_gpu                                     1.7342         5580     0.04%
TTPROF rank_pid=3178182 stages=51 denominator=oneParticle
TTPROF region                                        cpu-seconds        calls  %onePart
TTPROF oneParticle                                     4902.8318         5544   100.00%
TTPROF getFourierTransformsAndCtfs                      293.2580         5544     5.98%
TTPROF nonZeroProb                                      267.0392         5544     5.45%
TTPROF readData                                           0.2022         5544     0.00%
TTPROF ParaReadPrereadImages                              0.1902         5544     0.00%
TTPROF init                                               0.0000            0     0.00%
TTPROF makeNoiseMask                                      0.5767         5544     0.01%
TTPROF HelicalPrep                                        0.0000            0     0.00%
TTPROF TranslateAndNormCorrect                            3.6054         5544     0.07%
TTPROF normalizeAndTransform_recImg                       4.3566         5544     0.09%
TTPROF selfApplyBeamTilt                                  0.0048        11088     0.00%
TTPROF applyMask                                          5.9483         5544     0.12%
TTPROF normalizeAndTransform                              4.2145         5544     0.09%
TTPROF powerClass                                         1.3660         5544     0.03%
TTPROF CTFRead2D                                          4.9015         5544     0.10%
TTPROF weightPass                                      4156.5498        11088    84.78%
TTPROF getAllSquaredDifferencesCoarse                  3806.9173         5544    77.65%
TTPROF diff_pre_gpu                                       1.1778        11088     0.02%
TTPROF generateProjectionSetupCoarse                      0.1933         5544     0.00%
TTPROF translation_1                                      0.6489         5544     0.01%
TTPROF convertAllSquaredDifferencesToWeightsCoarse         0.6862         5544     0.01%
TTPROF get_orient_priors                                  0.0556        11088     0.00%
TTPROF get_offset_priors                                  0.0079        11088     0.00%
TTPROF sumweight1                                         0.7282        11088     0.01%
TTPROF sort                                               0.5504        11088     0.01%
TTPROF getArgMaxOnDevice                                  0.0158        11088     0.00%
TTPROF generateProjectionSetup                            0.2154         5544     0.00%
TTPROF getAllSquaredDifferencesFine                     348.5044         5544     7.11%
TTPROF precalculateShiftedImagesCtfsAndInvSigma2s         0.2982         5544     0.01%
TTPROF translation_2                                      0.6432         5544     0.01%
TTPROF kernel_init_1                                      0.1520         5544     0.00%
TTPROF pair_list_1                                        0.0448         5544     0.00%
TTPROF IndexedArrayMemCp2                                 0.0005         5544     0.00%
TTPROF generateEulerMatrices                              0.0791         5544     0.00%
TTPROF Diff2MakeKernel                                    0.0035         5544     0.00%
TTPROF Diff2CALL                                        347.0704         5544     7.08%
TTPROF collect_data_1                                     0.0042         5544     0.00%
TTPROF convertAllSquaredDifferencesToWeightsFine          0.1723         5544     0.00%
TTPROF storeWeightedSums                                452.9341         5544     9.24%
TTPROF store_init                                         0.6834         5544     0.01%
TTPROF collect_data_2                                     0.1687         5544     0.00%
TTPROF collect_data_2_pre_kernel                          0.0263         5544     0.00%
TTPROF collect_data_2_post_kernel                         0.0037         5544     0.00%
TTPROF setMetadata                                        0.0799         5544     0.00%
TTPROF maximization                                     450.3168         5544     9.18%
TTPROF translation_3                                      0.7008         5544     0.01%
TTPROF thisClassProjectionSetupCoarse                     0.0066         5544     0.00%
TTPROF generateEulerMatricesProjector                     0.0744         5544     0.00%
TTPROF pre_wavg_map                                       0.0069         5544     0.00%
TTPROF backproject                                      238.0829         5544     4.86%
TTPROF store_post_gpu                                     1.7317         5544     0.04%
