boot_id    first     last      span_min max_load1
ad887134   00:09:07  00:20:42      11.6    29.74
8b17b67b   00:23:19  01:07:57      44.6    20.29
9ac4c453   01:10:29  02:03:23      52.9    32.99
9428e4b0   02:06:28  02:46:42      40.2    26.35
39b693c2   02:49:29  03:16:14      26.8    22.01
075ec5df   03:19:00  04:10:21      51.4    15.65
d196d03c   04:13:29  05:30:33      77.1    17.51
3d44858c   05:33:34  05:58:03      24.5    18.76
cec482d4   06:01:15  08:52:41     171.4    12.45
59aba020   08:55:55  09:23:15      27.3    13.44
12a4e4ee   09:26:17  09:35:57       9.7     7.81
b16e24a5   09:38:37  09:49:42      11.1     9.15
959b41c0   09:52:42  10:04:53      12.2     9.89
6f8898c2   10:07:38  10:27:01      19.4    13.82
45590aaf   10:30:03  10:45:02      15.0    14.26
4f596f46   10:48:02  10:52:27       4.4     4.97
94dbd41a   10:55:08  11:05:57      10.8    14.28
bd0b09b6   11:06:40  11:38:24      31.7    10.94
6b0365cd   11:41:34  11:49:57       8.4     6.61
c7d21a14   11:52:59  12:00:06       7.1     8.22
3cdf9ed9   12:03:03  12:19:10      16.1     7.22
6252a298   12:22:16  12:36:39      14.4    14.67
bae970ae   12:39:46  12:39:50       0.1     0.30
15fc1a66   12:40:33  12:48:09       7.6     5.29
682e3f0a   12:51:15  13:01:07       9.9     5.93
306db718   13:04:01  13:04:05       0.1     0.39
9a83ef00   13:04:47  13:14:54      10.1     4.22
6101f73f   13:17:53  13:20:31       2.6     1.48

28 boot cycles in the trace
