utc,sm_mhz,sm_max_mhz,mem_mhz,power_w,power_limit_w,temp_c,util_pct,throttle,n_apps,apps_mem_mib
2026-09-18T20:36:10Z,1410,1410,1593,84.76,400.00,29,0,0,1,27092
2026-09-18T20:36:15Z,1410,1410,1593,130.93,400.00,32,77,0,1,27092
2026-09-18T20:36:20Z,1410,1410,1593,84.53,400.00,30,0,0,1,27092
2026-09-18T20:36:25Z,1410,1410,1593,83.55,400.00,30,25,0,1,27092
2026-09-18T20:36:30Z,1410,1410,1593,149.17,400.00,32,70,0,1,27092
2026-09-18T20:36:36Z,1410,1410,1593,235.73,400.00,32,43,0,1,27092
2026-09-18T20:36:41Z,1410,1410,1593,258.79,400.00,32,16,0,1,27092
2026-09-18T20:36:46Z,1410,1410,1593,238.96,400.00,32,53,0,1,27092
2026-09-18T20:36:51Z,1410,1410,1593,176.97,400.00,33,4,0,1,27092
2026-09-18T20:36:56Z,1410,1410,1593,183.00,400.00,32,31,0,1,27092
2026-09-18T20:37:01Z,1410,1410,1593,160.65,400.00,32,0,0,1,27092
2026-09-18T20:37:06Z,1410,1410,1593,174.86,400.00,31,19,0,1,27092
2026-09-18T20:37:11Z,1410,1410,1593,83.75,400.00,30,0,0,1,27092
2026-09-18T20:37:16Z,1410,1410,1593,84.28,400.00,30,0,0,1,27092
2026-09-18T20:37:22Z,1410,1410,1593,84.18,400.00,30,0,0,1,27092
2026-09-18T20:37:27Z,1410,1410,1593,83.99,400.00,30,0,0,1,27092
2026-09-18T20:37:32Z,1410,1410,1593,86.72,400.00,30,0,0,1,27092
2026-09-18T20:37:37Z,1410,1410,1593,235.43,400.00,33,37,0,1,27092
2026-09-18T20:37:42Z,1410,1410,1593,231.90,400.00,33,10,0,1,27092
2026-09-18T20:37:47Z,1410,1410,1593,83.25,400.00,30,0,0,0,
2026-09-18T20:37:52Z,1410,1410,1593,83.79,400.00,30,0,0,1,14166
2026-09-18T20:37:57Z,1410,1410,1593,128.57,400.00,31,70,0,2,14702
2026-09-18T20:38:03Z,1410,1410,1593,83.89,400.00,30,39,0,2,25666
2026-09-18T20:38:08Z,1410,1410,1593,97.85,400.00,33,84,0,2,25698
2026-09-18T20:38:13Z,1410,1410,1593,191.43,400.00,35,99,0,2,25740
2026-09-18T20:38:18Z,1410,1410,1593,135.87,400.00,33,36,0,2,25740
2026-09-18T20:38:23Z,1410,1410,1593,161.83,400.00,35,99,0,2,33110
2026-09-18T20:38:28Z,1410,1410,1593,149.52,400.00,34,37,0,2,39612
2026-09-18T20:38:34Z,1410,1410,1593,233.82,400.00,36,100,0,2,43892
2026-09-18T20:38:39Z,1410,1410,1593,204.58,400.00,36,47,0,2,48280
2026-09-18T20:38:44Z,1410,1410,1593,199.58,400.00,36,99,0,2,48280
2026-09-18T20:38:49Z,1410,1410,1593,249.29,400.00,36,34,0,2,48280
2026-09-18T20:38:54Z,1410,1410,1593,91.07,400.00,33,98,0,1,21188
2026-09-18T20:38:59Z,210,1410,1593,62.04,400.00,30,0,1,0,
2026-09-18T20:39:05Z,210,1410,1593,61.50,400.00,29,0,1,0,
2026-09-18T20:39:10Z,210,1410,1593,60.96,400.00,28,0,1,0,
2026-09-18T20:39:15Z,210,1410,1593,60.96,400.00,27,0,1,0,
2026-09-18T20:39:20Z,210,1410,1593,60.82,400.00,27,0,1,0,
2026-09-18T20:39:25Z,210,1410,1593,60.67,400.00,26,0,1,0,
2026-09-18T20:39:30Z,210,1410,1593,60.39,400.00,26,0,1,0,
2026-09-18T20:39:35Z,210,1410,1593,60.42,400.00,26,0,1,0,
2026-09-18T20:39:40Z,210,1410,1593,60.46,400.00,25,0,1,0,
2026-09-18T20:39:46Z,210,1410,1593,60.67,400.00,25,0,1,0,
2026-09-18T20:39:51Z,210,1410,1593,60.54,400.00,25,0,1,0,
2026-09-18T20:39:56Z,1275,1410,1593,76.40,400.00,27,26,0,1,11424
2026-09-18T20:40:01Z,1410,1410,1593,141.16,400.00,31,77,0,1,11528
2026-09-18T20:40:06Z,1410,1410,1593,184.47,400.00,33,75,0,1,11528
2026-09-18T20:40:11Z,1410,1410,1593,149.64,400.00,33,74,0,1,17900
2026-09-18T20:40:16Z,1410,1410,1593,163.80,400.00,35,77,0,1,21188
2026-09-18T20:40:21Z,1410,1410,1593,153.26,400.00,35,58,0,1,21188
2026-09-18T20:40:27Z,1410,1410,1593,227.06,400.00,35,73,0,1,21188
2026-09-18T20:40:32Z,1410,1410,1593,172.11,400.00,35,71,0,1,21188
2026-09-18T20:40:37Z,1410,1410,1593,285.50,400.00,37,73,0,1,21190
2026-09-18T20:40:42Z,1410,1410,1593,285.50,400.00,37,78,0,1,21190
2026-09-18T20:40:47Z,1410,1410,1593,207.54,400.00,36,75,0,1,21190
2026-09-18T20:40:52Z,1410,1410,1593,199.87,400.00,36,72,0,1,21190
2026-09-18T20:40:57Z,1410,1410,1593,160.04,400.00,37,80,0,1,21190
2026-09-18T20:41:02Z,1410,1410,1593,149.05,400.00,37,74,0,1,21190
2026-09-18T20:41:08Z,1410,1410,1593,204.28,400.00,38,70,0,1,21190
2026-09-18T20:41:13Z,1410,1410,1593,163.54,400.00,37,72,0,1,21190
2026-09-18T20:41:18Z,1410,1410,1593,193.04,400.00,38,69,0,1,21190
2026-09-18T20:41:23Z,1410,1410,1593,229.73,400.00,38,77,0,1,21190
2026-09-18T20:41:28Z,1410,1410,1593,241.93,400.00,37,82,0,1,21190
2026-09-18T20:41:33Z,1410,1410,1593,158.38,400.00,37,72,0,1,21190
2026-09-18T20:41:38Z,1410,1410,1593,284.64,400.00,38,75,0,1,21190
2026-09-18T20:41:43Z,1410,1410,1593,118.78,400.00,36,70,0,1,21190
2026-09-18T20:41:48Z,1410,1410,1593,208.85,400.00,37,75,0,1,21190
2026-09-18T20:41:54Z,1410,1410,1593,227.02,400.00,37,73,0,1,21190
2026-09-18T20:41:59Z,1410,1410,1593,176.75,400.00,37,72,0,1,21190
2026-09-18T20:42:04Z,1410,1410,1593,164.56,400.00,37,79,0,1,21190
2026-09-18T20:42:09Z,1410,1410,1593,207.78,400.00,36,56,0,1,21190
2026-09-18T20:42:14Z,1410,1410,1593,182.57,400.00,36,57,0,1,21190
2026-09-18T20:42:19Z,1410,1410,1593,190.75,400.00,36,66,0,1,21190
2026-09-18T20:42:24Z,1410,1410,1593,178.25,400.00,37,72,0,1,21190
2026-09-18T20:42:29Z,1410,1410,1593,154.05,400.00,37,75,0,1,21190
2026-09-18T20:42:35Z,1410,1410,1593,206.47,400.00,37,71,0,1,21190
2026-09-18T20:42:40Z,1410,1410,1593,287.36,400.00,37,68,0,1,21192
2026-09-18T20:42:45Z,1410,1410,1593,201.84,400.00,36,61,0,1,21192
2026-09-18T20:42:50Z,1410,1410,1593,204.82,400.00,37,78,0,1,21192
2026-09-18T20:42:55Z,1410,1410,1593,220.53,400.00,37,77,0,1,21192
2026-09-18T20:43:00Z,1410,1410,1593,136.41,400.00,37,71,0,1,21192
2026-09-18T20:43:05Z,1410,1410,1593,209.43,400.00,36,72,0,1,21192
2026-09-18T20:43:10Z,1410,1410,1593,141.87,400.00,36,71,0,1,21192
2026-09-18T20:43:15Z,1410,1410,1593,185.30,400.00,36,71,0,1,21192
2026-09-18T20:43:21Z,1410,1410,1593,152.26,400.00,36,65,0,1,21192
2026-09-18T20:43:26Z,1410,1410,1593,161.46,400.00,35,62,0,1,21192
2026-09-18T20:43:31Z,1410,1410,1593,82.19,400.00,32,3,0,1,658
2026-09-18T20:43:36Z,1275,1410,1593,77.56,400.00,29,0,0,1,442
2026-09-18T20:43:41Z,1410,1410,1593,83.55,400.00,30,6,0,1,11486
2026-09-18T20:43:46Z,1410,1410,1593,83.25,400.00,30,0,0,1,11528
2026-09-18T20:43:51Z,1410,1410,1593,287.89,400.00,32,62,0,1,11528
2026-09-18T20:43:57Z,1410,1410,1593,83.99,400.00,30,55,0,1,11528
2026-09-18T20:44:02Z,1410,1410,1593,84.62,400.00,30,6,0,1,14688
2026-09-18T20:44:07Z,1410,1410,1593,83.55,400.00,30,0,0,1,14688
2026-09-18T20:44:12Z,1410,1410,1593,119.60,400.00,30,31,0,1,21200
2026-09-18T20:44:17Z,1410,1410,1593,83.06,400.00,29,0,0,1,21200
2026-09-18T20:44:22Z,1410,1410,1593,127.74,400.00,31,41,0,1,21200
2026-09-18T20:44:27Z,1410,1410,1593,153.33,400.00,29,30,0,1,21200
2026-09-18T20:44:33Z,1410,1410,1593,82.72,400.00,28,26,0,1,21200
2026-09-18T20:44:38Z,1410,1410,1593,116.60,400.00,30,41,0,1,21200
2026-09-18T20:44:43Z,1275,1410,1593,72.31,400.00,27,0,0,1,21200
2026-09-18T20:44:48Z,1275,1410,1593,72.15,400.00,26,0,0,1,21200
2026-09-18T20:44:53Z,1275,1410,1593,72.15,400.00,26,0,0,1,21200
2026-09-18T20:44:58Z,1275,1410,1593,71.94,400.00,25,0,0,1,21200
2026-09-18T20:45:03Z,1275,1410,1593,72.47,400.00,25,0,0,1,21200
2026-09-18T20:45:08Z,1275,1410,1593,72.32,400.00,25,0,0,1,21200
2026-09-18T20:45:14Z,1275,1410,1593,72.47,400.00,25,0,0,1,21200
2026-09-18T20:45:19Z,1275,1410,1593,72.23,400.00,24,0,0,1,21200
2026-09-18T20:45:24Z,1275,1410,1593,71.86,400.00,24,0,0,1,21200
2026-09-18T20:45:29Z,1275,1410,1593,71.86,400.00,24,0,0,1,21200
2026-09-18T20:45:34Z,1275,1410,1593,71.94,400.00,24,0,0,1,21200
2026-09-18T20:45:39Z,1275,1410,1593,71.94,400.00,24,0,0,1,21200
2026-09-18T20:45:44Z,1275,1410,1593,71.86,400.00,24,0,0,1,21200
2026-09-18T20:45:49Z,1275,1410,1593,71.94,400.00,24,0,0,1,21200
2026-09-18T20:45:54Z,1275,1410,1593,71.94,400.00,24,0,0,1,21200
2026-09-18T20:46:00Z,1275,1410,1593,72.40,400.00,24,0,0,1,21200
2026-09-18T20:46:05Z,1275,1410,1593,72.02,400.00,23,0,0,1,21200
2026-09-18T20:46:10Z,1275,1410,1593,71.86,400.00,23,0,0,1,21200
2026-09-18T20:46:15Z,1275,1410,1593,71.90,400.00,23,0,0,1,21200
2026-09-18T20:46:20Z,1275,1410,1593,72.11,400.00,23,0,0,1,21200
2026-09-18T20:46:25Z,1275,1410,1593,71.61,400.00,23,0,0,1,21200
2026-09-18T20:46:30Z,1275,1410,1593,71.61,400.00,23,0,0,1,21200
2026-09-18T20:46:35Z,1275,1410,1593,71.70,400.00,23,0,0,1,21200
2026-09-18T20:46:40Z,1275,1410,1593,71.94,400.00,23,0,0,1,21200
2026-09-18T20:46:46Z,1275,1410,1593,71.70,400.00,23,0,0,1,21200
2026-09-18T20:46:51Z,1275,1410,1593,71.70,400.00,23,0,0,1,21200
2026-09-18T20:46:56Z,1275,1410,1593,71.70,400.00,23,0,0,1,21200
2026-09-18T20:47:01Z,1275,1410,1593,71.70,400.00,23,0,0,1,21200
2026-09-18T20:47:06Z,1275,1410,1593,71.77,400.00,23,0,0,1,21200
2026-09-18T20:47:11Z,1275,1410,1593,71.94,400.00,23,0,0,1,21200
2026-09-18T20:47:16Z,1275,1410,1593,71.70,400.00,23,0,0,1,21200
2026-09-18T20:47:21Z,1410,1410,1593,81.74,400.00,23,0,0,1,682
2026-09-18T20:47:26Z,1275,1410,1593,73.21,400.00,23,0,0,1,682
2026-09-18T20:47:32Z,1275,1410,1593,71.86,400.00,23,0,0,1,682
2026-09-18T20:47:37Z,1275,1410,1593,71.70,400.00,23,0,0,1,682
2026-09-18T20:47:42Z,1275,1410,1593,71.41,400.00,23,0,0,1,682
2026-09-18T20:47:47Z,1275,1410,1593,71.70,400.00,23,0,0,1,682
2026-09-18T20:47:52Z,1275,1410,1593,71.41,400.00,23,0,0,1,682
2026-09-18T20:47:57Z,1275,1410,1593,71.41,400.00,23,0,0,1,682
2026-09-18T20:48:02Z,1275,1410,1593,72.23,400.00,23,0,0,1,682
2026-09-18T20:48:07Z,1275,1410,1593,71.70,400.00,23,0,0,1,682
2026-09-18T20:48:12Z,1275,1410,1593,71.70,400.00,23,0,0,1,682
2026-09-18T20:48:18Z,1275,1410,1593,71.61,400.00,22,0,0,1,682
2026-09-18T20:48:23Z,1275,1410,1593,71.70,400.00,22,0,0,1,682
2026-09-18T20:48:28Z,1275,1410,1593,71.70,400.00,22,0,0,1,682
2026-09-18T20:48:33Z,1275,1410,1593,72.11,400.00,22,0,0,1,682
2026-09-18T20:48:38Z,1275,1410,1593,71.86,400.00,22,0,0,1,682
2026-09-18T20:48:43Z,1275,1410,1593,71.57,400.00,22,0,0,1,682
2026-09-18T20:48:48Z,1275,1410,1593,71.57,400.00,22,0,0,1,682
2026-09-18T20:48:53Z,1275,1410,1593,71.70,400.00,22,0,0,1,682
2026-09-18T20:48:58Z,1275,1410,1593,71.57,400.00,22,0,0,1,682
2026-09-18T20:49:04Z,1275,1410,1593,71.94,400.00,22,0,0,1,682
