utc,sm_mhz,sm_max_mhz,mem_mhz,power_w,power_limit_w,temp_c,util_pct,throttle,n_apps,apps_mem_mib
2026-09-18T19:51:15Z,1140,1410,1593,65.85,400.00,23,0,1,0,
2026-09-18T19:51:20Z,1275,1410,1593,79.44,400.00,25,12,0,1,11456
2026-09-18T19:51:25Z,1410,1410,1593,137.85,400.00,27,70,0,1,11486
2026-09-18T19:51:30Z,1410,1410,1593,82.18,400.00,26,0,0,1,11528
2026-09-18T19:51:35Z,1410,1410,1593,84.82,400.00,26,0,0,1,11528
2026-09-18T19:51:40Z,1410,1410,1593,82.53,400.00,27,2,0,1,11528
2026-09-18T19:51:45Z,1410,1410,1593,82.28,400.00,27,16,0,1,14688
2026-09-18T19:51:51Z,1410,1410,1593,82.38,400.00,27,0,0,1,14688
2026-09-18T19:51:56Z,1410,1410,1593,82.72,400.00,28,7,0,1,21188
2026-09-18T19:52:01Z,1410,1410,1593,82.72,400.00,28,31,0,1,21188
2026-09-18T19:52:06Z,1410,1410,1593,82.72,400.00,28,42,0,1,21188
2026-09-18T19:52:11Z,1410,1410,1593,98.14,400.00,29,43,0,1,21188
2026-09-18T19:52:16Z,1410,1410,1593,83.17,400.00,29,62,0,1,21188
2026-09-18T19:52:22Z,1410,1410,1593,117.03,400.00,30,53,0,1,21188
2026-09-18T19:52:27Z,1410,1410,1593,259.79,400.00,30,49,0,1,21188
2026-09-18T19:52:32Z,1410,1410,1593,83.06,400.00,28,0,0,1,21188
2026-09-18T19:52:37Z,1410,1410,1593,84.72,400.00,29,35,0,1,21188
2026-09-18T19:52:42Z,1410,1410,1593,198.29,400.00,30,72,0,1,21188
2026-09-18T19:52:47Z,1410,1410,1593,293.23,400.00,31,12,0,1,21190
2026-09-18T19:52:52Z,1410,1410,1593,83.16,400.00,29,43,0,1,21190
2026-09-18T19:52:58Z,1410,1410,1593,123.79,400.00,31,69,0,1,21190
2026-09-18T19:53:03Z,1410,1410,1593,210.21,400.00,30,40,0,1,21190
2026-09-18T19:53:08Z,1410,1410,1593,141.20,400.00,31,15,0,1,21190
2026-09-18T19:53:13Z,1410,1410,1593,82.91,400.00,29,0,0,1,21190
2026-09-18T19:53:18Z,1410,1410,1593,82.91,400.00,28,0,0,1,21190
2026-09-18T19:53:23Z,1410,1410,1593,83.06,400.00,29,0,0,1,21190
2026-09-18T19:53:28Z,1410,1410,1593,82.77,400.00,29,0,0,1,21190
2026-09-18T19:53:33Z,1410,1410,1593,83.16,400.00,29,17,0,1,21190
2026-09-18T19:53:39Z,1410,1410,1593,198.42,400.00,31,26,0,1,21190
