
======================================================================
[protenix-v2] folding prot.yaml (200 steps, 5 samples)
======================================================================
00:26:27  [tt-quietbox:tt1] loading model…
00:26:33  [tt-quietbox:tt1] prot
00:26:33  [tt-quietbox:tt1]   msa
00:26:33  [tt-quietbox:tt1]   prep
00:26:34  [tt-quietbox:tt1]   trunk 0/10
00:26:36  [tt-quietbox:tt1]   trunk 1/10
00:26:37  [tt-quietbox:tt1]   trunk 2/10
00:26:37  [tt-quietbox:tt1]   trunk 3/10
00:26:37  [tt-quietbox:tt1]   trunk 4/10
00:26:38  [tt-quietbox:tt1]   trunk 5/10
00:26:38  [tt-quietbox:tt1]   trunk 6/10
00:26:39  [tt-quietbox:tt1]   trunk 7/10
00:26:39  [tt-quietbox:tt1]   trunk 8/10
00:26:39  [tt-quietbox:tt1]   trunk 9/10
00:26:41  [tt-quietbox:tt1]   diffusion 0/200
00:26:43  [tt-quietbox:tt1]   diffusion 1/200
00:26:43  [tt-quietbox:tt1]   diffusion 2/200
00:26:43  [tt-quietbox:tt1]   diffusion 3/200
00:26:43  [tt-quietbox:tt1]   diffusion 4/200
00:26:43  [tt-quietbox:tt1]   diffusion 5/200
00:26:43  [tt-quietbox:tt1]   diffusion 6/200
00:26:43  [tt-quietbox:tt1]   diffusion 7/200
00:26:43  [tt-quietbox:tt1]   diffusion 8/200
00:26:44  [tt-quietbox:tt1]   diffusion 9/200
00:26:44  [tt-quietbox:tt1]   diffusion 10/200
00:26:44  [tt-quietbox:tt1]   diffusion 11/200
00:26:44  [tt-quietbox:tt1]   diffusion 12/200
00:26:44  [tt-quietbox:tt1]   diffusion 13/200
00:26:44  [tt-quietbox:tt1]   diffusion 14/200
00:26:44  [tt-quietbox:tt1]   diffusion 15/200
00:26:44  [tt-quietbox:tt1]   diffusion 16/200
00:26:44  [tt-quietbox:tt1]   diffusion 17/200
00:26:44  [tt-quietbox:tt1]   diffusion 18/200
00:26:44  [tt-quietbox:tt1]   diffusion 19/200
00:26:44  [tt-quietbox:tt1]   diffusion 20/200
00:26:45  [tt-quietbox:tt1]   diffusion 21/200
00:26:45  [tt-quietbox:tt1]   diffusion 22/200
00:26:45  [tt-quietbox:tt1]   diffusion 23/200
00:26:45  [tt-quietbox:tt1]   diffusion 24/200
00:26:45  [tt-quietbox:tt1]   diffusion 25/200
00:26:45  [tt-quietbox:tt1]   diffusion 26/200
00:26:45  [tt-quietbox:tt1]   diffusion 27/200
00:26:45  [tt-quietbox:tt1]   diffusion 28/200
00:26:46  [tt-quietbox:tt1]   diffusion 29/200
00:26:46  [tt-quietbox:tt1]   diffusion 30/200
00:26:46  [tt-quietbox:tt1]   diffusion 31/200
00:26:46  [tt-quietbox:tt1]   diffusion 32/200
00:26:46  [tt-quietbox:tt1]   diffusion 33/200
00:26:46  [tt-quietbox:tt1]   diffusion 34/200
00:26:46  [tt-quietbox:tt1]   diffusion 35/200
00:26:46  [tt-quietbox:tt1]   diffusion 36/200
00:26:46  [tt-quietbox:tt1]   diffusion 37/200
00:26:47  [tt-quietbox:tt1]   diffusion 38/200
00:26:47  [tt-quietbox:tt1]   diffusion 39/200
00:26:47  [tt-quietbox:tt1]   diffusion 40/200
00:26:47  [tt-quietbox:tt1]   diffusion 41/200
00:26:47  [tt-quietbox:tt1]   diffusion 42/200
00:26:47  [tt-quietbox:tt1]   diffusion 43/200
00:26:47  [tt-quietbox:tt1]   diffusion 44/200
00:26:47  [tt-quietbox:tt1]   diffusion 45/200
00:26:47  [tt-quietbox:tt1]   diffusion 46/200
00:26:47  [tt-quietbox:tt1]   diffusion 47/200
00:26:47  [tt-quietbox:tt1]   diffusion 48/200
00:26:47  [tt-quietbox:tt1]   diffusion 49/200
00:26:47  [tt-quietbox:tt1]   diffusion 50/200
00:26:48  [tt-quietbox:tt1]   diffusion 51/200
00:26:48  [tt-quietbox:tt1]   diffusion 52/200
00:26:48  [tt-quietbox:tt1]   diffusion 53/200
00:26:48  [tt-quietbox:tt1]   diffusion 54/200
00:26:48  [tt-quietbox:tt1]   diffusion 55/200
00:26:48  [tt-quietbox:tt1]   diffusion 56/200
00:26:48  [tt-quietbox:tt1]   diffusion 57/200
00:26:48  [tt-quietbox:tt1]   diffusion 58/200
00:26:48  [tt-quietbox:tt1]   diffusion 59/200
00:26:48  [tt-quietbox:tt1]   diffusion 60/200
00:26:48  [tt-quietbox:tt1]   diffusion 61/200
00:26:48  [tt-quietbox:tt1]   diffusion 62/200
00:26:48  [tt-quietbox:tt1]   diffusion 63/200
00:26:48  [tt-quietbox:tt1]   diffusion 64/200
00:26:49  [tt-quietbox:tt1]   diffusion 65/200
00:26:49  [tt-quietbox:tt1]   diffusion 66/200
00:26:49  [tt-quietbox:tt1]   diffusion 67/200
00:26:49  [tt-quietbox:tt1]   diffusion 68/200
00:26:49  [tt-quietbox:tt1]   diffusion 69/200
00:26:49  [tt-quietbox:tt1]   diffusion 70/200
00:26:49  [tt-quietbox:tt1]   diffusion 71/200
00:26:49  [tt-quietbox:tt1]   diffusion 72/200
00:26:49  [tt-quietbox:tt1]   diffusion 73/200
00:26:49  [tt-quietbox:tt1]   diffusion 74/200
00:26:49  [tt-quietbox:tt1]   diffusion 75/200
00:26:49  [tt-quietbox:tt1]   diffusion 76/200
00:26:49  [tt-quietbox:tt1]   diffusion 77/200
00:26:49  [tt-quietbox:tt1]   diffusion 78/200
00:26:50  [tt-quietbox:tt1]   diffusion 79/200
00:26:50  [tt-quietbox:tt1]   diffusion 80/200
00:26:50  [tt-quietbox:tt1]   diffusion 81/200
00:26:50  [tt-quietbox:tt1]   diffusion 82/200
00:26:50  [tt-quietbox:tt1]   diffusion 83/200
00:26:50  [tt-quietbox:tt1]   diffusion 84/200
00:26:50  [tt-quietbox:tt1]   diffusion 85/200
00:26:50  [tt-quietbox:tt1]   diffusion 86/200
00:26:50  [tt-quietbox:tt1]   diffusion 87/200
00:26:50  [tt-quietbox:tt1]   diffusion 88/200
00:26:50  [tt-quietbox:tt1]   diffusion 89/200
00:26:50  [tt-quietbox:tt1]   diffusion 90/200
00:26:50  [tt-quietbox:tt1]   diffusion 91/200
00:26:51  [tt-quietbox:tt1]   diffusion 92/200
00:26:51  [tt-quietbox:tt1]   diffusion 93/200
00:26:51  [tt-quietbox:tt1]   diffusion 94/200
00:26:51  [tt-quietbox:tt1]   diffusion 95/200
00:26:51  [tt-quietbox:tt1]   diffusion 96/200
00:26:51  [tt-quietbox:tt1]   diffusion 97/200
00:26:51  [tt-quietbox:tt1]   diffusion 98/200
00:26:51  [tt-quietbox:tt1]   diffusion 99/200
00:26:51  [tt-quietbox:tt1]   diffusion 100/200
00:26:51  [tt-quietbox:tt1]   diffusion 101/200
00:26:51  [tt-quietbox:tt1]   diffusion 102/200
00:26:51  [tt-quietbox:tt1]   diffusion 103/200
00:26:51  [tt-quietbox:tt1]   diffusion 104/200
00:26:51  [tt-quietbox:tt1]   diffusion 105/200
00:26:52  [tt-quietbox:tt1]   diffusion 106/200
00:26:52  [tt-quietbox:tt1]   diffusion 107/200
00:26:52  [tt-quietbox:tt1]   diffusion 108/200
00:26:52  [tt-quietbox:tt1]   diffusion 109/200
00:26:52  [tt-quietbox:tt1]   diffusion 110/200
00:26:52  [tt-quietbox:tt1]   diffusion 111/200
00:26:52  [tt-quietbox:tt1]   diffusion 112/200
00:26:52  [tt-quietbox:tt1]   diffusion 113/200
00:26:52  [tt-quietbox:tt1]   diffusion 114/200
00:26:52  [tt-quietbox:tt1]   diffusion 115/200
00:26:52  [tt-quietbox:tt1]   diffusion 116/200
00:26:52  [tt-quietbox:tt1]   diffusion 117/200
00:26:53  [tt-quietbox:tt1]   diffusion 118/200
00:26:53  [tt-quietbox:tt1]   diffusion 119/200
00:26:53  [tt-quietbox:tt1]   diffusion 120/200
00:26:53  [tt-quietbox:tt1]   diffusion 121/200
00:26:53  [tt-quietbox:tt1]   diffusion 122/200
00:26:53  [tt-quietbox:tt1]   diffusion 123/200
00:26:53  [tt-quietbox:tt1]   diffusion 124/200
00:26:53  [tt-quietbox:tt1]   diffusion 125/200
00:26:53  [tt-quietbox:tt1]   diffusion 126/200
00:26:53  [tt-quietbox:tt1]   diffusion 127/200
00:26:53  [tt-quietbox:tt1]   diffusion 128/200
00:26:54  [tt-quietbox:tt1]   diffusion 129/200
