target,gen,side,native,recorded,best,rec_pairs,best_pairs,n_native_res,n_rec,note
21tw,opendde-abag,1,A,B,B,224,224,224,1,
21tw,opendde-abag,2,B,A,A,139,139,139,1,
21tw,protenix-v2,1,A,B,B,224,224,224,1,
21tw,protenix-v2,2,B,A,A,139,139,139,1,
9gei,opendde-abag,1,A,A,A,174,174,174,1,
9gei,opendde-abag,2,B,B,B,226,226,226,1,
9gei,protenix-v2,1,A,A,A,174,174,174,1,
9gei,protenix-v2,2,B,B,B,226,226,226,1,
9gvn,opendde-abag,1,A,A,A,111,111,111,1,
9gvn,opendde-abag,2,D,C,C,219,219,219,1,
9gvn,protenix-v2,1,A,A,A,111,111,111,1,
9gvn,protenix-v2,2,D,C,C,219,219,219,1,
9iar,opendde-abag,1,B,A,A,558,558,558,1,
9iar,opendde-abag,2,D,B,B,114,114,114,1,
9iar,protenix-v2,1,B,A,A,558,558,558,1,
9iar,protenix-v2,2,D,B,B,114,114,114,1,
9l8z,opendde-abag,1,A,A,A,233,233,233,1,
9l8z,opendde-abag,2,C,B,B,125,125,125,1,
9l8z,protenix-v2,1,A,A,A,233,233,233,1,
9l8z,protenix-v2,2,C,B,B,125,125,125,1,
9l9y,opendde-abag,1,B,C,C,210,210,210,1,
9l9y,opendde-abag,2,D,A,A,147,147,147,1,
9l9y,protenix-v2,1,B,C,C,210,210,210,1,
9l9y,protenix-v2,2,D,A,A,147,147,147,1,
9lbw,opendde-abag,1,A,A,A,141,141,141,1,
9lbw,opendde-abag,2,L,C,C,109,109,109,1,
9lbw,protenix-v2,1,A,A,A,141,141,141,1,
9lbw,protenix-v2,2,L,C,C,109,109,109,1,
9lh2,opendde-abag,1,A,A,A,196,196,196,1,
9lh2,opendde-abag,2,B,B,B,132,132,132,1,
9lh2,protenix-v2,1,A,A,A,196,196,196,1,
9lh2,protenix-v2,2,B,B,B,132,132,132,1,
9lme,opendde-abag,1,A,A,A,219,219,219,1,
9lme,opendde-abag,2,F,B,B,117,117,117,1,
9lme,protenix-v2,1,A,A,A,219,219,219,1,
9lme,protenix-v2,2,F,B,B,117,117,117,1,
9lqw,opendde-abag,1,A,A,A,271,271,271,1,
9lqw,opendde-abag,2,C,B,B,129,129,129,1,
9lqw,protenix-v2,1,A,A,A,271,271,271,1,
9lqw,protenix-v2,2,C,B,B,129,129,129,1,
9lsy,opendde-abag,1,D,A,A,202,202,202,1,
9lsy,opendde-abag,2,E,B,B,117,117,117,1,
9lsy,protenix-v2,1,D,A,A,202,202,202,1,
9lsy,protenix-v2,2,E,B,B,117,117,117,1,
9ly6,opendde-abag,1,A,A,A,405,405,405,1,
9ly6,opendde-abag,2,B,B,B,213,213,213,1,
9ly6,protenix-v2,1,A,A,A,405,405,405,1,
9ly6,protenix-v2,2,B,B,B,213,213,213,1,
9mns,opendde-abag,1,L,C,C,211,211,211,1,
9mns,opendde-abag,2,E,A,A,160,160,160,1,
9mns,protenix-v2,1,L,C,C,211,211,211,1,
9mns,protenix-v2,2,E,A,A,160,160,160,1,
9mnu,opendde-abag,1,E,A,A,140,140,140,1,
9mnu,opendde-abag,2,H,B,B,226,226,227,1,
9mnu,protenix-v2,1,E,A,A,140,140,140,1,
9mnu,protenix-v2,2,H,B,B,226,226,227,1,
9n8n,opendde-abag,1,A,B,B,217,217,217,1,
9n8n,opendde-abag,2,I,A,A,308,308,308,1,
9n8n,protenix-v2,1,A,B,B,217,217,217,1,
9n8n,protenix-v2,2,I,A,A,308,308,308,1,
9nw4,opendde-abag,1,A,B,B,212,212,212,1,
9nw4,opendde-abag,2,C,A,A,9,9,9,1,
9nw4,protenix-v2,1,A,B,B,212,212,212,1,
9nw4,protenix-v2,2,C,A,A,9,9,9,1,
9pso,opendde-abag,1,E,A,A,191,191,191,1,
9pso,opendde-abag,2,H,B,B,219,219,219,1,
9pso,protenix-v2,1,E,A,A,191,191,191,1,
9pso,protenix-v2,2,H,B,B,219,219,219,1,
9q1l,opendde-abag,1,E,B,C,72,214,214,1,flag
9q1l,opendde-abag,2,F,A,A,39,39,39,1,
9q1l,protenix-v2,1,E,B,C,72,214,214,1,flag
9q1l,protenix-v2,2,F,A,A,39,39,39,1,
9u5p,opendde-abag,1,A,A,A,180,180,180,1,
9u5p,opendde-abag,2,B,B,B,127,127,127,1,
9u5p,protenix-v2,1,A,A,A,180,180,180,1,
9u5p,protenix-v2,2,B,B,B,127,127,127,1,
9ue0,opendde-abag,1,A,B,B,223,223,223,1,
9ue0,opendde-abag,2,C,A,A,84,84,84,1,
9ue0,protenix-v2,1,A,B,B,223,223,223,1,
9ue0,protenix-v2,2,C,A,A,84,84,84,1,
9ugo,opendde-abag,1,A,C,C,215,215,215,1,
9ugo,opendde-abag,2,C,A,A,98,98,98,1,
9ugo,protenix-v2,1,A,C,C,215,215,215,1,
9ugo,protenix-v2,2,C,A,A,98,98,98,1,
9ull,opendde-abag,1,A,B,B,216,216,216,1,
9ull,opendde-abag,2,K,A,A,10,10,10,1,
9ull,protenix-v2,1,A,B,B,216,216,216,1,
9ull,protenix-v2,2,K,A,A,10,10,10,1,
9ulm,opendde-abag,1,A,B,B,214,214,214,1,
9ulm,opendde-abag,2,Y,A,A,11,11,11,1,
9ulm,protenix-v2,1,A,B,B,214,214,214,1,
9ulm,protenix-v2,2,Y,A,A,11,11,11,1,
9ulp,opendde-abag,1,A,A,A,275,275,275,1,
9ulp,opendde-abag,2,C,B,B,119,119,119,1,
9ulp,protenix-v2,1,A,A,A,275,275,275,1,
9ulp,protenix-v2,2,C,B,B,119,119,119,1,
9uoc,opendde-abag,1,B,A,A,206,206,206,1,
9uoc,opendde-abag,2,A,B,B,123,123,123,1,
9uoc,protenix-v2,1,B,A,A,206,206,206,1,
9uoc,protenix-v2,2,A,B,B,123,123,123,1,
9wwh,opendde-abag,1,H,B,B,223,223,223,1,
9wwh,opendde-abag,2,D,A,A,130,130,130,1,
9wwh,protenix-v2,1,H,B,B,223,223,223,1,
9wwh,protenix-v2,2,D,A,A,130,130,130,1,
9x05,opendde-abag,1,A,A,A,146,146,146,1,
9x05,opendde-abag,2,D,B,B,220,220,220,1,
9x05,protenix-v2,1,A,A,A,146,146,146,1,
9x05,protenix-v2,2,D,B,B,220,220,220,1,
9ynx,opendde-abag,1,A,A,A,189,189,189,1,
9ynx,opendde-abag,2,F,B,B,229,229,229,1,
9ynx,protenix-v2,1,A,A,A,189,189,189,1,
9ynx,protenix-v2,2,F,B,B,229,229,229,1,
9zen,opendde-abag,1,C,A,A,111,111,111,1,
9zen,opendde-abag,2,L,B,B,119,119,119,1,
9zen,protenix-v2,1,C,A,A,111,111,111,1,
9zen,protenix-v2,2,L,B,B,119,119,119,1,
