target,gen,side,native,recorded,best,rec_pairs,best_pairs,n_native_res,n_rec,note
21av,boltz2,1,C,H,H,125,125,125,1,
21av,boltz2,2,H,A,A,321,321,321,1,
21du,boltz2,1,A,A,A,241,241,241,1,
21du,boltz2,2,N,H,H,126,126,126,1,
21tw,boltz2,1,A,H,H,224,224,224,1,
21tw,boltz2,2,B,A,A,139,139,139,1,
22ps,boltz2,1,D,H,H,119,119,119,1,
22ps,boltz2,2,F,A,A,164,164,164,1,
9ck4,boltz2,1,W,A,A,80,80,80,1,
9ck4,boltz2,2,A,H,H,119,119,119,1,
9d3j,boltz2,1,C,A,A,56,56,56,1,
9d3j,boltz2,2,A,H,H,180,180,180,1,
9d72,boltz2,1,L,L,L,213,213,213,1,
9d72,boltz2,2,A,A,A,266,266,266,1,
9d73,boltz2,1,A,A,A,273,273,273,1,
9d73,boltz2,2,H,H,H,214,214,214,1,
9d74,boltz2,1,A,A,A,273,273,273,1,
9d74,boltz2,2,L,L,L,211,211,211,1,
9dsg,boltz2,1,A,A,A,196,196,196,1,
9dsg,boltz2,2,H,H,H,248,248,248,1,
9fte,boltz2,1,A,A,A,255,255,255,1,
9fte,boltz2,2,B,H,H,107,107,107,1,
9gei,boltz2,1,A,A,A,174,174,174,1,
9gei,boltz2,2,B,H,H,226,226,226,1,
9gfr,boltz2,1,L,L,L,213,213,213,1,
9gfr,boltz2,2,E,A,A,85,85,85,1,
9gvn,boltz2,1,A,A,A,111,111,111,1,
9gvn,boltz2,2,D,L,L,219,219,219,1,
9hv9,boltz2,1,H,H,H,223,223,223,1,
9hv9,boltz2,2,A,L,A,6,7,7,1,
9i3p,boltz2,1,B,A,A,528,528,528,1,
9i3p,boltz2,2,C,H,H,452,452,452,1,
9i5n,boltz2,1,B,H,H,118,118,118,1,
9i5n,boltz2,2,C,A,A,143,143,143,1,
9iar,boltz2,1,B,A,A,558,558,558,1,
9iar,boltz2,2,D,H,H,114,114,114,1,
9ivj,boltz2,1,A,A,A,655,655,655,1,
9ivj,boltz2,2,H,H,H,126,126,126,1,
9j4c,boltz2,1,A,A,A,655,655,655,1,
9j4c,boltz2,2,H,H,H,227,227,227,1,
9j87,boltz2,1,B,A,A,210,210,210,1,
9j87,boltz2,2,E,H,H,230,230,230,1,
9jkr,boltz2,1,A,H,H,114,114,114,1,
9jkr,boltz2,2,I,A,A,110,110,110,1,
9jno,boltz2,1,A,A,A,233,233,233,1,
9jno,boltz2,2,D,H,H,220,220,220,1,
9k6j,boltz2,1,C,A,A,181,181,181,1,
9k6j,boltz2,2,A,H,H,213,213,213,1,
9kwy,boltz2,1,A,A,A,570,570,570,1,
9kwy,boltz2,2,C,H,H,119,119,119,1,
9l1l,boltz2,1,A,A,A,179,179,179,1,
9l1l,boltz2,2,C,H,H,218,218,218,1,
9l8z,boltz2,1,A,A,A,233,233,233,1,
