target,gen,rank,model,ref_pair,v2_dockq,v2_fnat,v2_irmsd,v2_lrmsd,n_dropped_chain1,n_dropped_chain2,status,tp_dockq,tp_fnat,tp_irmsd,tp_lrmsd
21av,boltz2,48,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_21av/structures/21av_model_48.cif,A_C,0.014139115669436741,0.0,10.085351495046954,58.35611793119895,0,0,ok,0.014139113209453102,0.0,10.085351561613498,58.35612811505609
21tw,boltz2,19,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_21tw/structures/21tw_model_19.cif,A_B,0.04353274931282992,0.0,14.72537403553745,22.982394059652044,0,0,ok,0.043532856910567685,0.0,14.725371902381784,22.982359336431667
9d3j,boltz2,1,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9d3j/structures/9d3j_model_1.cif,A_B,0.24544988710674023,0.35294117647058826,5.709350198358829,12.423877800694308,0,0,ok,0.24544983471658263,0.35294117647058826,5.709350773479581,12.423881948128185
9d3j,boltz2,23,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9d3j/structures/9d3j_model_23.cif,A_B,0.15186673489770772,0.29411764705882354,5.996876779878261,25.138253149624788,0,0,ok,0.15186679167355507,0.29411764705882354,5.996876086894035,25.138231646421232
9d73,boltz2,21,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9d73/structures/9d73_model_21.cif,A_D,0.8039667932926061,0.8846153846153846,0.6951757860971902,5.510353319625182,0,0,ok,0.8039643888991471,0.8846153846153846,0.6951758217797545,5.510448509953052
9fte,boltz2,39,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9fte/structures/9fte_model_39.cif,A_B,0.03427671532509139,0.0,11.745156494549255,27.57355187487632,0,0,ok,0.03427688314388631,0.0,11.745156716396778,27.573464187880514
9ivj,boltz2,44,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9ivj/structures/9ivj_model_44.cif,A_D,0.016890862685564997,0.0,12.226973909280444,44.08340805449829,0,0,ok,0.01689084666510335,0.0,12.226974674386325,44.0834375407404
9k6j,boltz2,13,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9k6j/structures/9k6j_model_13.cif,A_B,0.7320669117425037,0.8676470588235294,0.9219096938345627,6.900845542413181,0,0,ok,0.7320669415987627,0.8676470588235294,0.9219098110979047,6.900843522229418
9l1l,boltz2,20,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9l1l/structures/9l1l_model_20.cif,A_C,0.01699905363921593,0.0,12.19898922594678,43.9200622795036,0,0,ok,0.016999053530221422,0.0,12.198989303754855,43.920062367733415
9l8z,boltz2,16,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9l8z/structures/9l8z_model_16.cif,A_C,0.3455859579202341,0.53125,3.9239743872914756,10.903288458935222,0,0,ok,0.34558574273807335,0.53125,3.9239742533332387,10.903303603190736
9l9o,boltz2,48,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9l9o/structures/9l9o_model_48.cif,B_D,0.2692592633902375,0.5555555555555556,3.291946202326949,28.767346175819043,0,0,ok,0.2692592896040836,0.5555555555555556,3.291947213642394,28.76731382069949
9lof,boltz2,5,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9lof/structures/9lof_model_5.cif,A_B,0.016914081775950034,0.0,8.517919781177847,58.51636253847733,0,0,ok,0.016914103035760825,0.0,8.517920028743934,58.51626787623834
9lwc,boltz2,1,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9lwc/structures/9lwc_model_1.cif,A_D,0.03186871513924694,0.03571428571428571,9.51951304569893,44.199099500268275,0,0,ok,0.03186872297810597,0.03571428571428571,9.519513401576539,44.19908325362325
9lxp,boltz2,45,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9lxp/structures/9lxp_model_45.cif,A_C,0.7051230532754227,0.8260869565217391,1.3703361035700417,4.983378446662392,0,0,ok,0.7051243420608956,0.8260869565217391,1.3703358719172216,4.9833289375351
9ly5,boltz2,45,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9ly5/structures/9ly5_model_45.cif,A_C,0.17225337182839184,0.34615384615384615,3.8528033513752797,42.2039836326066,0,0,ok,0.17225341284888576,0.34615384615384615,3.8528044078495283,42.203879005118665
9m0j,boltz2,37,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9m0j/structures/9m0j_model_37.cif,A_D,0.042044177894285766,0.075,12.65300109966222,43.19869055176282,0,0,ok,0.0420441592278046,0.075,12.65299989260908,43.19872582847621
9m8l,boltz2,12,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9m8l/structures/9m8l_model_12.cif,B_D,0.004127866110043139,0.0,22.690542653525462,94.45877315654288,0,0,ok,0.004127862958542199,0.0,22.69054256893773,94.45882938865655
9mns,boltz2,28,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9mns/structures/9mns_model_28.cif,B_E,0.046487549696162735,0.0,11.070780823525265,22.86297751752376,0,0,ok,0.04648753912269327,0.0,11.070780849336852,22.862980907452023
9mnt,boltz2,2,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9mnt/structures/9mnt_model_2.cif,A_C,0.5760198236292355,0.7142857142857143,2.1326502103624763,5.793421214691669,0,0,ok,0.5760201110807105,0.7142857142857143,2.132650100111945,5.793409987242355
9mz7,boltz2,30,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9mz7/structures/9mz7_model_30.cif,A_C,0.20185728040663964,0.1724137931034483,5.408571327174242,11.29077445208541,0,0,ok,0.20185783272518276,0.1724137931034483,5.408553309575306,11.290744741859678
9nl0,boltz2,42,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9nl0/structures/9nl0_model_42.cif,B_C,0.8059562257945941,0.7647058823529411,0.3691447900400754,5.428829824279593,0,0,ok,0.8059561067316533,0.7647058823529411,0.3691448449447121,5.428834324466989
9nw7,boltz2,42,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9nw7/structures/9nw7_model_42.cif,A_C,0.02861367490616148,0.0,9.973511385764754,32.58200379031579,0,0,ok,0.028613677703803953,0.0,9.973511889035017,32.582000902487195
9nw9,boltz2,36,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9nw9/structures/9nw9_model_36.cif,A_C,0.024051321985122512,0.0,9.846776812901926,37.25716098554632,0,0,ok,0.02405135852667896,0.0,9.846777226715314,37.25711682240059
9obn,boltz2,37,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9obn/structures/9obn_model_37.cif,A_G,0.6592436363860262,0.6851851851851852,1.7120581546484555,3.454000991940425,0,0,ok,0.6592436507846342,0.6851851851851852,1.712058059110751,3.4540007679429645
9q6h,boltz2,42,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9q6h/structures/9q6h_model_42.cif,A_B,0.01768029157386297,0.0,16.966038550079748,39.02828310541585,0,0,ok,0.01768036137082227,0.0,16.96603674309848,39.02818933503424
9rn6,boltz2,2,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9rn6/structures/9rn6_model_2.cif,A_C,0.010594625569033048,0.0,21.37530256314642,51.13967690478015,0,0,ok,0.01059462684726705,0.0,21.37530258747983,51.139673145855674
9u5r,boltz2,4,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9u5r/structures/9u5r_model_4.cif,A_B,0.8724139965768286,1.0,0.876143237445662,3.2621070772744027,0,0,ok,0.872414796834434,1.0,0.8761439466462282,3.262067606497046
9ua5,boltz2,10,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9ua5/structures/9ua5_model_10.cif,A_B,0.008606700624595934,0.0,19.472670536375244,59.61977106760275,0,0,ok,0.008606707453853847,0.0,19.472669638656416,59.619740612465314
9ua5,boltz2,41,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9ua5/structures/9ua5_model_41.cif,A_B,0.005164411836195915,0.0,23.893575270665103,78.57260060927554,0,0,ok,0.00516441033275759,0.0,23.893572873898613,78.57261880210947
9ulp,boltz2,21,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9ulp/structures/9ulp_model_21.cif,A_B,0.1575457249266962,0.1875,6.9392839767064585,15.10525891322652,0,0,ok,0.15754584664573956,0.1875,6.939283975571221,15.105243815169004
9uo0,boltz2,29,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9uo0/structures/9uo0_model_29.cif,A_B,0.4305010103834616,0.6792452830188679,2.936621427133807,10.295465015976605,0,0,ok,0.43050103401224377,0.6792452830188679,2.936621200689145,10.295464042593846
9uoi,boltz2,32,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9uoi/structures/9uoi_model_32.cif,A_C,0.07338007403860337,0.10204081632653061,9.644164838832097,26.314702866582433,0,0,ok,0.07338008291503446,0.10204081632653061,9.644164836745034,26.31469877276915
9v0x,boltz2,45,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9v0x/structures/9v0x_model_45.cif,A_C,0.009301168909189703,0.0,25.56259446254895,53.666553071085715,0,0,ok,0.009301157541383791,0.0,25.562592130444095,53.666592104480785
9vnp,boltz2,31,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9vnp/structures/9vnp_model_31.cif,A_B,0.19682234532254358,0.3125,4.9289223453735715,17.369772657606102,0,0,ok,0.19682230512456197,0.3125,4.928922146632415,17.369779725290776
9vnp,boltz2,34,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9vnp/structures/9vnp_model_34.cif,A_B,0.29282289053913957,0.5,2.9134047459335686,18.853099184394274,0,0,ok,0.2928228825424191,0.5,2.913405114607355,18.85309798055898
9w14,boltz2,30,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9w14/structures/9w14_model_30.cif,A_C,0.8745852352193668,0.9166666666666666,0.8766798675414624,1.6962288740233464,0,0,ok,0.8745851421423652,0.9166666666666666,0.8766800000566678,1.6962339827658195
9w14,boltz2,47,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9w14/structures/9w14_model_47.cif,A_C,0.009979570244845413,0.0,13.627541961129445,62.83924902214184,0,0,ok,0.009979565640744672,0.0,13.627541672464718,62.83927450897894
9xqb,boltz2,33,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9xqb/structures/9xqb_model_33.cif,A_B,0.14393462927837442,0.16666666666666666,3.9033639240667855,21.382024630344063,0,0,ok,0.14393461319070833,0.16666666666666666,3.903363822014249,21.382029540783613
9xqc,boltz2,25,/home/ttuser/abag_xm/tier_a/boltz2/boltz2_results_9xqc/structures/9xqc_model_25.cif,A_C,0.008543661356971268,0.0,12.023519653026595,83.29776101730755,0,0,ok,0.008543671117654826,0.0,12.02351920983907,83.29764598779148
