pdb_id,rcsb_entry,antigen_entity_id,antigen_match_score,antigen_is_fold_entity_2,antigen_auth_chains,uniprot_ids,uniprot_null,entity_poly_type,antigen_seq_len,primary_accession,accession_multiplicity,dup_group_id,antigen_seq_cluster,keeps_in_dedup,keeps_in_seqdedup,antibody_dup_flag,has_peptide_antigen,release_date,superseded_by,cdrh3_cluster
21av,21AV,3,1.0,True,H,A0A7S9CEK0,False,polypeptide(L),321,A0A7S9CEK0,1,,C06,True,False,False,False,2026-04-29T00:00:00Z,,21av_h0
21du,21DU,1,1.0,False,A,A0A590UJY2,False,polypeptide(L),246,A0A590UJY2,2,G03:A0A590UJY2,C01,True,False,False,False,2026-02-11T00:00:00Z,,21du_h0
21tw,21TW,2,0.9307692307692308,True,B;C;D,P01375,False,polypeptide(L),158,P01375,1,,-,True,True,False,False,2026-04-29T00:00:00Z,,21tw_h0
22ps,22PS,3,0.8064516129032258,True,C;F,,True,polypeptide(L),214,,1,,-,True,True,False,False,2026-02-04T00:00:00Z,,22ps_h0
9ck4,9CK4,1,1.0,False,W,,True,polypeptide(L),99,,1,,-,True,True,False,False,2026-01-21T00:00:00Z,,9ck4_h0
9d3j,9D3J,1,1.0,False,C;D,,True,polypeptide(L),64,,1,,-,True,True,False,False,2026-03-18T00:00:00Z,,9ck4_h0
9d72,9D72,4,0.9299610894941635,True,A,P01900,False,polypeptide(L),273,P01900,1,,-,True,True,False,False,2026-02-04T00:00:00Z,,9d72_h0
9d73,9D73,1,1.0,False,A,Q860B7,False,polypeptide(L),274,Q860B7,2,G23:Q860B7,C28,True,True,True,True,2026-02-04T00:00:00Z,,9d73_h0
9d74,9D74,1,1.0,False,A,Q860B7,False,polypeptide(L),274,Q860B7,2,G23:Q860B7,C28,False,False,True,True,2026-02-11T00:00:00Z,,9d73_h0
9dsg,9DSG,1,1.0,False,A,P0DTC2,False,polypeptide(L),212,P0DTC2,12,G09:P0DTC2,C00,False,False,False,False,2026-04-08T00:00:00Z,,9dsg_h0
9fte,9FTE,1,1.0,False,A,B8JJE0,False,polypeptide(L),426,B8JJE0,1,,-,True,True,False,False,2026-01-14T00:00:00Z,,9fte_h0
9gei,9GEI,1,0.9939393939393939,False,A;C,P32022,False,polypeptide(L),188,P32022,1,,-,True,True,False,False,2026-02-11T00:00:00Z,,9gei_h0
9gfr,9GFR,3,1.0,True,E;F;G,,True,polypeptide(L),85,,1,,-,True,True,False,False,2026-03-04T00:00:00Z,,9gfr_h0
9gvn,9GVN,1,1.0,False,A;B,P05113,False,polypeptide(L),115,P05113,1,,-,True,True,False,False,2026-01-14T00:00:00Z,,9gvn_h0
9hv9,9HV9,3,1.0,True,A,P03305,False,polypeptide(L),7,P03305,1,,-,True,True,False,True,2026-01-14T00:00:00Z,,9hv9_h0
