target,gen,rank,dockq,forced_class
21av,boltz2,48,0.0141391156694367,
21tw,boltz2,19,0.0435327493128299,
9d3j,boltz2,1,0.2454498871067402,
9d3j,boltz2,23,0.1518667348977077,
9d73,boltz2,21,0.8039667932926061,
9fte,boltz2,39,0.0342767153250913,
9ivj,boltz2,44,0.0168908626855649,
9k6j,boltz2,13,0.7320669117425037,
9l1l,boltz2,20,0.0169990536392159,
9l8z,boltz2,16,0.3455859579202341,
9l9o,boltz2,48,0.2692592633902375,
9lof,boltz2,5,0.01691408177595,
9lwc,boltz2,1,0.0318687151392469,
9lxp,boltz2,45,0.7051230532754227,
9ly5,boltz2,45,0.1722533718283918,
9m0j,boltz2,37,0.0420441778942857,
9m8l,boltz2,12,0.0041278661100431,
9mns,boltz2,28,0.0464875496961627,
9mnt,boltz2,2,0.5760198236292355,
9mz7,boltz2,30,0.2018572804066396,
9nl0,boltz2,42,0.8059562257945941,
9nw7,boltz2,42,0.0286136749061614,
9nw9,boltz2,36,0.0240513219851225,
9obn,boltz2,37,0.6592436363860262,
9q6h,boltz2,42,0.0176802915738629,
9rn6,boltz2,2,0.010594625569033,
9u5r,boltz2,4,0.8724139965768286,
9ua5,boltz2,10,0.0086067006245959,
9ua5,boltz2,41,0.0051644118361959,
9ulp,boltz2,21,0.1575457249266962,
9uo0,boltz2,29,0.4305010103834616,
9uoi,boltz2,32,0.0733800740386033,
9v0x,boltz2,45,0.0093011689091897,
9vnp,boltz2,31,0.1968223453225435,
9vnp,boltz2,34,0.2928228905391395,
9w14,boltz2,30,0.8745852352193668,
9w14,boltz2,47,0.0099795702448454,
9xqb,boltz2,33,0.1439346292783744,
9xqc,boltz2,25,0.0085436613569712,
9ynx,boltz2,36,0.0282187077920443,
21du,opendde-abag,5,0.5636898506470082,
21tw,opendde-abag,19,0.2417407686690224,
21tw,opendde-abag,41,0.2306548615730151,
9d3j,opendde-abag,23,0.2733105689052887,
9dsg,opendde-abag,1,0.0111830185796164,
9dsg,opendde-abag,7,0.0114123975635784,
9dsg,opendde-abag,34,0.0154459228647644,
9gvn,opendde-abag,47,0.6813945723772031,
9i3p,opendde-abag,19,0.571824185574724,
9jkr,opendde-abag,35,0.8994213171818091,
9kwy,opendde-abag,28,0.0038091248085002,
9l9y,opendde-abag,39,0.1679171817187862,
9lp1,opendde-abag,22,0.9340405168206246,
9ly6,opendde-abag,18,0.0154413304316969,
9m0j,opendde-abag,23,0.3999366657668883,
9m0j,opendde-abag,42,0.4317098237715723,
9m3q,opendde-abag,30,0.7627734077632251,
9ma0,opendde-abag,26,0.203078593203785,
9mnb,opendde-abag,6,0.8511396673705082,
9mns,opendde-abag,13,0.2591650288325345,
9msc,opendde-abag,22,0.0592195707941084,
9msc,opendde-abag,27,0.0712034095710737,
9mz7,opendde-abag,35,0.9394995210892104,
9n0e,opendde-abag,44,0.8007589064337212,
9n1q,opendde-abag,22,0.7227562730900835,
9nkz,opendde-abag,25,0.2627496192249043,
9nl0,opendde-abag,32,0.2075312559476617,
9nw9,opendde-abag,14,0.0331013945822575,
9nw9,opendde-abag,30,0.0066783927154764,
9ppy,opendde-abag,13,0.6323698013605956,
9ppy,opendde-abag,34,0.6335602737677893,
9pso,opendde-abag,35,0.6439743402518342,
9q1l,opendde-abag,12,0.0785663649557509,
9t3r,opendde-abag,47,0.005243769070189,
9u5p,opendde-abag,14,0.896192751922006,
9u5r,opendde-abag,2,0.906843029974278,
9ugo,opendde-abag,9,0.1052339932877381,
9vmn,opendde-abag,17,0.5232184792139468,
9wb3,opendde-abag,30,0.9062188764624542,
9yxd,opendde-abag,43,0.6597806521182666,
21tw,protenix-v2,13,0.2354252722447505,
9dsg,protenix-v2,3,0.206562358404342,
9jno,protenix-v2,10,0.1697460276656638,
9l1l,protenix-v2,27,0.0278705778328748,
9l9y,protenix-v2,0,0.0848036552416351,
9lbw,protenix-v2,7,0.0182082591963363,
9ldx,protenix-v2,9,0.569540884143154,
9lme,protenix-v2,2,0.0093900236088317,
9lof,protenix-v2,24,0.0044808280088248,
9ly6,protenix-v2,35,0.0059596911707518,
9lz0,protenix-v2,28,0.7818799043498758,
9lz1,protenix-v2,19,0.6664363720493677,
9m1p,protenix-v2,12,0.0124778014571062,
9m8l,protenix-v2,12,0.0114516475374294,
9mns,protenix-v2,23,0.0611341404182292,
9mz6,protenix-v2,49,0.6587179270188291,
9mz8,protenix-v2,9,0.9290078194035232,seq_mismatch
9mzf,protenix-v2,39,0.0210835490795631,
9n05,protenix-v2,30,0.0253610182211054,
9n8n,protenix-v2,34,0.0040888912191907,
9nl0,protenix-v2,39,0.7216873208280767,
9nl0,protenix-v2,46,0.7540672091289758,
9np0,protenix-v2,4,0.0494091269060024,
9np0,protenix-v2,5,0.0502869524581802,
9nw7,protenix-v2,9,0.0277996034414729,
9nw8,protenix-v2,28,0.4578224826045576,
9nzf,protenix-v2,42,0.2433302340418933,
9q6y,protenix-v2,39,0.7924863795333342,
9qqe,protenix-v2,18,0.0696128951751135,
9udq,protenix-v2,1,0.109984060009467,
9ugo,protenix-v2,5,0.049505511345061,
9ull,protenix-v2,20,0.243694140158867,
9ulp,protenix-v2,12,0.2519732353235774,
9ulp,protenix-v2,23,0.259438778023509,
9v1h,protenix-v2,28,0.5730796472729905,
9vnp,protenix-v2,37,0.8101500443109089,
9wb3,protenix-v2,49,0.8253614219282502,
9xth,protenix-v2,1,0.0726933621162864,
9ynx,protenix-v2,21,0.3551128812752242,
9zdu,protenix-v2,7,0.9216441841062104,
